Rank,index,RA,Dec,Probability
1,5595,0.0,-90.0,0.13296533780606618
2,5381,27.743415,-88.418861,0.1176934561752943
3,5170,85.046467,-88.418861,0.10158968856174594
4,5811,142.349519,-88.418861,0.086735539473949
5,6028,199.652572,-88.418861,0.08523965547519231
6,5810,256.955624,-88.418861,0.08266793952130837
7,4960,314.258676,-88.418861,0.07182189914541001
8,6248,5.019698,-86.837722,0.03529369754153947
9,5594,33.682137,-86.837722,0.026201479010862797
10,4752,62.344577,-86.837722,0.025143841741567516
11,5382,91.007016,-86.837722,0.023031211007968424
12,4753,119.669455,-86.837722,0.022255600782145907
13,6029,148.331895,-86.837722,0.020971861347512888
14,5169,176.994334,-86.837722,0.020817671538779576
15,6247,205.656773,-86.837722,0.017542566619205925
16,6469,234.319213,-86.837722,0.014292611580452499
17,4549,262.981652,-86.837722,0.010566872230784669
18,4548,291.644091,-86.837722,0.009918507909778352
19,6027,320.306531,-86.837722,0.00934711559293439
20,4961,348.96897,-86.837722,0.009136572865362848
21,5596,14.515051,-85.256584,0.008458974887435244
22,4347,33.635478,-85.256584,0.007964938759530266
23,4959,52.755905,-85.256584,0.0074282977911953475
24,5380,71.876333,-85.256584,0.007247431520138736
25,5171,90.99676,-85.256584,0.006404661132012758
26,4149,110.117187,-85.256584,0.004984414439084655
27,6468,129.237614,-85.256584,0.004811507767510033
28,6691,148.358042,-85.256584,0.004736924349380017
29,4348,167.478469,-85.256584,0.0030479291469179283
30,3954,186.598896,-85.256584,0.0028459062442590362
31,5812,205.719323,-85.256584,0.0016934267276046825
32,3762,224.839751,-85.256584,0.0014348761638850645
33,5809,243.960178,-85.256584,0.0012634652404966697
34,6915,263.080605,-85.256584,0.0012309843943917932
35,6249,282.201032,-85.256584,0.0011900464735887422
36,4150,301.32146,-85.256584,0.0010639058662756224
37,6470,320.441887,-85.256584,0.0007466295438392118
38,6690,339.562314,-85.256584,0.0007062249511964491
39,3573,358.682741,-85.256584,0.0006533390294606265
40,6692,3.939689,-83.675445,0.0006333911392238439
41,3387,18.292764,-83.675445,0.00040338093518605176
42,3205,32.645839,-83.675445,0.00036399824870476195
43,3028,46.998914,-83.675445,0.0003536108387230114
44,3761,61.351989,-83.675445,0.00033520146179253404
45,3955,75.705064,-83.675445,0.00032941674384155966
46,7140,90.058139,-83.675445,0.00031244261790526234
47,3572,104.411214,-83.675445,0.0003084956335769469
48,6914,118.764289,-83.675445,0.0003020052004030568
49,3388,133.117365,-83.675445,0.0003001888052058099
50,4148,147.47044,-83.675445,0.0002678766047397811
51,4751,161.823515,-83.675445,0.0002636406909107995
52,3206,176.17659,-83.675445,0.0002431534760160375
53,4754,190.529665,-83.675445,0.00024089042740243504
54,2684,204.88274,-83.675445,0.00021965182655751716
55,3953,219.235815,-83.675445,0.00021305417253740053
56,4346,233.58889,-83.675445,0.00020375292642815622
57,2854,247.941965,-83.675445,0.00019408038363229248
58,2853,262.29504,-83.675445,0.0001706203425541046
59,1759,276.648116,-83.675445,0.00016716868717047624
60,4550,291.001191,-83.675445,0.0001631816732558097
61,1621,305.354266,-83.675445,0.00016045754698888976
62,1361,319.707341,-83.675445,0.0001591481302603686
63,3027,334.060416,-83.675445,0.00014535299077259319
64,6916,348.413491,-83.675445,0.00012956212202981575
65,1489,7.358409,-82.094306,0.00012443249397222551
66,2518,18.854007,-82.094306,0.00010916729346851687
67,1622,30.349605,-82.094306,0.00010627514813657651
68,1239,41.845203,-82.094306,9.081199805745384e-05
69,2049,53.340801,-82.094306,8.958464279756567e-05
70,5593,64.836399,-82.094306,8.920961424898347e-05
71,2358,76.331997,-82.094306,8.80536812694548e-05
72,1758,87.827594,-82.094306,8.500280017739254e-05
73,1901,99.323192,-82.094306,8.231024302403348e-05
74,7365,110.81879,-82.094306,8.139787256457721e-05
75,6246,122.314388,-82.094306,7.927307432971033e-05
76,1902,133.809986,-82.094306,7.19631382274915e-05
77,2201,145.305584,-82.094306,7.13866591697374e-05
78,1488,156.801182,-82.094306,7.060395053657042e-05
79,2519,168.296779,-82.094306,7.020631180587125e-05
80,3763,179.792377,-82.094306,6.875653318219477e-05
81,7139,191.287975,-82.094306,6.532643947545247e-05
82,5168,202.783573,-82.094306,4.4392632861367286e-05
83,7141,214.279171,-82.094306,4.272970217363531e-05
