Rank,index,RA,Dec,Probability
1,1456,0.0,-90.0,0.32306189952154446
2,1349,43.584799,-86.837722,0.2553486646919426
3,1244,100.909678,-86.837722,0.10993295133294088
4,1565,158.234557,-86.837722,0.10672740605780152
5,1243,215.559436,-86.837722,0.0560355164160617
6,1348,272.884314,-86.837722,0.0444371308184736
7,1141,330.209193,-86.837722,0.04354454067310434
8,1041,5.008598,-83.675445,0.012417089264470391
9,1455,33.714748,-83.675445,0.012188802652675294
10,1676,62.420898,-83.675445,0.011988249684014112
11,1566,91.127048,-83.675445,0.008494568207942928
12,944,119.833198,-83.675445,0.0031558161336663797
13,1675,148.539349,-83.675445,0.0025451468341076405
14,1140,177.245499,-83.675445,0.0021229454505018158
15,1788,205.951649,-83.675445,0.0008737161369305227
16,851,234.657799,-83.675445,0.0008701039433039267
17,850,263.36395,-83.675445,0.0005702110002219756
18,1457,292.0701,-83.675445,0.0005693129247434359
19,761,320.77625,-83.675445,0.0005692536944504963
20,675,349.4824,-83.675445,0.0005280311525451473
21,943,14.646323,-80.513167,0.0004935229606167963
22,376,33.832463,-80.513167,0.00043555885763034647
23,760,53.018602,-80.513167,0.0004093983492253979
24,443,72.204742,-80.513167,0.00039690767634852444
25,1564,91.390882,-80.513167,0.0003796089951812842
26,1040,110.577021,-80.513167,0.0003551932968214491
27,1787,129.763161,-80.513167,0.0002744001819065011
28,593,148.9493,-80.513167,0.00022626971882525965
29,516,168.13544,-80.513167,0.0002186129320406202
30,313,187.321579,-80.513167,0.0001909896240815959
31,1142,206.507719,-80.513167,0.00012005477883778966
32,444,225.693858,-80.513167,9.815664978334021e-05
33,1350,244.879998,-80.513167,5.7739497299468055e-05
34,314,264.066138,-80.513167,5.7042920237795444e-05
35,1900,283.252277,-80.513167,4.7502814657506114e-05
36,256,302.438417,-80.513167,3.179606265562142e-05
37,1901,321.624556,-80.513167,2.6979363379625927e-05
38,1042,340.810696,-80.513167,2.494160243616296e-05
39,676,359.996835,-80.513167,2.3477068199471016e-05
40,257,9.537104,-77.350889,2.0304688694236108e-05
41,594,23.978069,-77.350889,1.4271825659394854e-05
42,1245,38.419035,-77.350889,1.3023140875448099e-05
43,375,52.86,-77.350889,1.2908402943283719e-05
