Rank,index,RA,Dec,Probability
1,29582,0.0,-90.0,0.03930546730553357
2,28610,24.988695,-89.292893,0.03733878352518055
3,29095,82.285929,-89.292893,0.03327575127626148
4,26689,139.583163,-89.292893,0.03130044649958622
5,28127,196.880397,-89.292893,0.03044794669420587
6,27645,254.177631,-89.292893,0.030005174536455327
7,28126,311.474865,-89.292893,0.029256855546238393
8,27166,12.708579,-88.585786,0.028957281754527487
9,26215,41.359378,-88.585786,0.025476475101258403
10,27644,70.010177,-88.585786,0.025411251334461205
11,30070,98.660976,-88.585786,0.023923068683657515
12,26214,127.311775,-88.585786,0.023819031141323155
13,29096,155.962573,-88.585786,0.023249591427602356
14,25272,184.613372,-88.585786,0.02301765311206177
15,27167,213.264171,-88.585786,0.022287022688731367
16,25742,241.91497,-88.585786,0.021305472290962024
17,26690,270.565769,-88.585786,0.021214794108167692
18,29581,299.216568,-88.585786,0.01876082599597503
19,25273,327.867367,-88.585786,0.0186824551538076
20,30071,356.518165,-88.585786,0.017933042332563293
21,28611,15.387033,-87.87868,0.017679078414907255
22,30561,34.489991,-87.87868,0.016374188539963384
23,25741,53.592948,-87.87868,0.016227784864241774
24,24804,72.695905,-87.87868,0.015194792375265397
25,24339,91.798862,-87.87868,0.014674457803417938
26,28609,110.901819,-87.87868,0.014647399538823958
27,27165,130.004777,-87.87868,0.01308195516033257
28,27646,149.107734,-87.87868,0.012740095163653882
29,31053,168.210691,-87.87868,0.012566945115455197
30,23876,187.313648,-87.87868,0.011984256964299231
31,30560,206.416605,-87.87868,0.01179971701817905
32,29583,225.519562,-87.87868,0.010777860363825886
33,24803,244.62252,-87.87868,0.01002970732022502
34,28125,263.725477,-87.87868,0.010017108605553535
35,25743,282.828434,-87.87868,0.009913113621451721
36,24805,301.931391,-87.87868,0.009853507014828193
37,25271,321.034348,-87.87868,0.009539324135846714
38,23877,340.137306,-87.87868,0.008580105168581802
39,29094,359.240263,-87.87868,0.008385099429863308
40,26688,7.167349,-87.171573,0.007832768359673366
41,26216,21.497113,-87.171573,0.0076675805605811494
42,24340,35.826878,-87.171573,0.007603149229997971
43,26213,50.156642,-87.171573,0.007370511880982689
44,31052,64.486406,-87.171573,0.0072883949852643355
45,31054,78.816171,-87.171573,0.0072420993421430345
46,23416,93.145935,-87.171573,0.006991440327376368
47,30562,107.475699,-87.171573,0.006809129305884502
48,31547,121.805463,-87.171573,0.006701437057406916
49,31546,136.135228,-87.171573,0.005671991794243801
50,32041,150.464992,-87.171573,0.00552942991134124
51,30069,164.794756,-87.171573,0.005439538872999299
52,23417,179.124521,-87.171573,0.005376709770258159
53,28128,193.454285,-87.171573,0.005324385322389135
54,22959,207.784049,-87.171573,0.005068819980446585
55,29097,222.113813,-87.171573,0.004925756232058002
56,24338,236.443578,-87.171573,0.004783381945079825
57,26691,250.773342,-87.171573,0.004758354600825588
58,30072,265.103106,-87.171573,0.004379761538828571
59,25740,279.432871,-87.171573,0.004152209184771616
60,22505,293.762635,-87.171573,0.003771727162029069
61,29580,308.092399,-87.171573,0.0036860605798185353
62,27643,322.422164,-87.171573,0.0032358454551219785
63,28612,336.751928,-87.171573,0.003227648544703739
64,22958,351.081692,-87.171573,0.0031576195891645327
65,32042,7.797246,-86.464466,0.0031001503828574878
66,27168,19.263677,-86.464466,0.003026513410546318
67,30559,30.730108,-86.464466,0.0028678372657510278
68,23875,42.19654,-86.464466,0.002791622673346292
69,32538,53.662971,-86.464466,0.0027768720354839883
70,22054,65.129402,-86.464466,0.0025920678209560917
71,31548,76.595834,-86.464466,0.002445330959273996
72,22053,88.062265,-86.464466,0.00231507537320654
73,25274,99.528696,-86.464466,0.002268974177905759
74,28608,110.995128,-86.464466,0.0020265570807701428
75,24341,122.461559,-86.464466,0.001933692295589841
76,22506,133.92799,-86.464466,0.001902805702675395
77,33036,145.394422,-86.464466,0.0018955333374602486
78,21160,156.860853,-86.464466,0.0018908902919434324
79,32537,168.327285,-86.464466,0.0018594536626985784
80,27647,179.793716,-86.464466,0.0018565758501887233
81,21606,191.260147,-86.464466,0.001813270307349944
82,23415,202.726579,-86.464466,0.0017963981245315678
83,23878,214.19301,-86.464466,0.001756742518520728
84,21605,225.659441,-86.464466,0.0017410578356452796
85,32040,237.125873,-86.464466,0.0016686977806471852
86,24806,248.592304,-86.464466,0.0016293329477277587
87,23418,260.058735,-86.464466,0.0015697169005139387
88,31051,271.525167,-86.464466,0.0014992232298444478
89,22960,282.991598,-86.464466,0.0014881772968676841
