Rank,index,RA,Dec,Probability,CumulativeProb
1,9698,291.168891,9.611746,0.0028050294727767,0.0028050294727767
2,9474,292.066143,8.030607,0.0027475451368889,0.0055525746096656
3,9249,291.99081,6.449469,0.0026351777114706,0.0081877523211362
4,10143,290.333459,12.774024,0.002535571008704,0.0107233233298402
5,9023,292.464524,4.86833,0.0023374793451626,0.0130608026750028
6,9921,290.770782,11.192885,0.0023118764771389,0.0153726791521417
7,9024,294.051388,4.86833,0.0022836122334582,0.0176562913855999
8,8570,294.692339,1.706052,0.0021785435399555,0.0198348349255554
9,4068,52.331196,-29.916724,0.0021693001067381,0.0220041350322935
10,8796,292.958836,3.287191,0.0021396028568661,0.0241437378891596
11,4069,54.155409,-29.916724,0.0021151563731671,0.0262588942623267
12,9250,293.582019,6.449469,0.0020622232295709,0.0283211174918976
13,8342,294.532599,0.124913,0.0020551151806477,0.0303762326725453
14,4066,48.68277,-29.916724,0.002011168103625,0.0323874007761703
15,8114,294.890751,-1.456226,0.0019774122708032,0.034364813046973496
16,3873,50.859922,-31.497863,0.0019757531997822,0.0363405662467557
17,4267,55.390141,-28.335586,0.0019462022719328,0.038286768518688494
18,8569,293.110499,1.706052,0.001944287441959,0.040231055960647494
19,3874,52.714283,-31.497863,0.001940063055181,0.04217111901582849
20,3872,49.005561,-31.497863,0.0019098957227856,0.04408101473861409
21,9699,292.772542,9.611746,0.0019093627184855,0.045990377457099586
22,7887,295.420157,-3.037364,0.0019051513085837,0.04789552876568329
23,4067,50.506983,-29.916724,0.0019043762933815,0.049799905059064786
24,10363,289.294685,14.355163,0.001901215329634,0.051701120388698785
25,4070,55.979622,-29.916724,0.0018951086032027,0.05359622899190149
26,10583,290.076399,15.936302,0.0018693040860521,0.055465533077953585
27,4071,57.803835,-29.916724,0.00185081892595,0.05731635200390359
28,4266,53.593765,-28.335586,0.0018315353909224,0.05914788739482599
29,4074,63.276474,-29.916724,0.0018260254385799,0.06097391283340589
30,3871,47.1512,-31.497863,0.0018259410050495,0.06279985383845539
31,8341,292.951457,0.124913,0.0018212314534356,0.06462108529189099
32,7886,293.836794,-3.037364,0.0018134824321843,0.06643456772407529
33,8113,293.309102,-1.456226,0.0018127961611706,0.06824736388524588
34,7660,295.998269,-4.618503,0.0017922293181576,0.07003959320340349
35,8797,294.542581,3.287191,0.0017811729145311,0.07182076611793459
36,3878,60.131727,-31.497863,0.0017773891559374,0.07359815527387199
37,13900,271.447038,42.815662,0.0017769132506145,0.0753750685244865
38,14668,257.172221,50.721356,0.0017640297516255,0.077139098276112
39,3876,56.423005,-31.497863,0.0017625642761926,0.0789016625523046
40,4268,57.186516,-28.335586,0.0017355769417056,0.08063723949401021
41,14807,253.252182,52.302495,0.0017349465269271,0.08237218602093731
42,14376,265.89448,47.559078,0.0017329878486323,0.0841051738695696
43,14524,260.535824,49.140217,0.0017328225717356,0.0858379964413052
44,14064,270.71337,44.396801,0.0017260686320859,0.0875640650733911
45,10799,288.363363,17.51744,0.0017223342079449,0.089286399281336
46,10364,290.926782,14.355163,0.001721207810522,0.091007607091858
47,9922,292.382579,11.192885,0.0017209536960999,0.0927285607879579
48,3875,54.568644,-31.497863,0.0017154030889897,0.09444396387694759
49,3879,61.986088,-31.497863,0.0017072594962797,0.09615122337322729
50,14809,258.42359,52.302495,0.0016935634654822,0.0978447868387095
51,4073,61.452261,-29.916724,0.0016817137493066,0.0995265005880161
52,3877,58.277366,-31.497863,0.0016813915265368,0.1012078921145529
53,4262,46.408262,-28.335586,0.0016812163249521,0.10288910843950501
54,3686,58.851621,-33.079002,0.0016784196594655,0.1045675280989705
55,4072,59.628048,-29.916724,0.0016770212541693,0.1062445493531398
56,14222,267.541389,45.977939,0.0016556128002702,0.10790016215341
57,4269,58.982892,-28.335586,0.0016521137759618,0.1095522759293718
58,14526,265.369558,49.140217,0.0016434805248397,0.11119575645421151
59,3685,56.964637,-33.079002,0.0016432561478197,0.1128390126020312
60,14941,249.113253,53.883634,0.0016411346254239,0.1144801472274551
61,14670,262.167191,50.721356,0.0016409924609318,0.1161211396883869
62,14525,262.952691,49.140217,0.0016388134964184,0.1177599531848053
63,8115,296.472401,-1.456226,0.0016386839101755,0.1193986370949808
64,4265,51.797389,-28.335586,0.0016385803774661,0.1210372174724469
65,4264,50.001014,-28.335586,0.0016372246388769,0.1226744421113238
66,10582,288.432064,15.936302,0.0016338395307173,0.12430828164204111
67,14808,255.837886,52.302495,0.0016309811443508,0.12593926278639192
68,4065,46.858557,-29.916724,0.0016266608032025,0.12756592358959443
69,14669,259.669706,50.721356,0.0016137202553048,0.12917964384489922
70,3681,49.416704,-33.079002,0.0016129938074984,0.13079263765239763
71,4263,48.204638,-28.335586,0.0016115435745617,0.13240418122695932
72,4271,62.575643,-28.335586,0.0016103612186634,0.13401454244562272
73,7433,295.729525,-6.199642,0.0016063794100837,0.13562092185570643
74,9475,293.662941,8.030607,0.0016051846851489,0.13722610654085532
75,3682,51.303687,-33.079002,0.001600342505915,0.13882644904677033
76,3684,55.077654,-33.079002,0.0015722301887122,0.14039867923548252
77,7659,294.411979,-4.618503,0.0015682106063893,0.1419668898418718
78,13734,275.38055,41.234523,0.0015662347843502,0.143533124626222
79,4261,44.611887,-28.335586,0.0015578406914786,0.1450909653177006
80,4270,60.779268,-28.335586,0.0015553476184362,0.1466463129361368
81,4064,45.034344,-29.916724,0.0015484331965148,0.1481947461326516
82,4063,43.210131,-29.916724,0.0015416663056103,0.1497364124382619
83,7888,297.00352,-3.037364,0.0015389607381472,0.1512753731764091
84,14063,268.500476,44.396801,0.0015372154586275,0.1528125886350366
85,14943,254.478255,53.883634,0.0015346413427873,0.1543472299778239
86,14375,263.551461,47.559078,0.0015305483348508,0.15587777831267471
87,4469,57.864932,-26.754447,0.0015266798731237,0.1574044581857984
88,3870,45.296839,-31.497863,0.0015189729100457,0.15892343109584411
89,3497,57.2403,-34.660141,0.0015141717857562,0.1604376028816003
90,13901,273.602517,42.815662,0.0015098982748784,0.1619475011564787
91,14942,251.795754,53.883634,0.0015017691897917,0.1634492703462704
92,3496,55.318036,-34.660141,0.001496559670972,0.16494583001724242
93,3683,53.19067,-33.079002,0.0014943009508838,0.1664401309681262
94,8343,296.113742,0.124913,0.0014923311228624,0.1679324620909886
95,3687,60.738604,-33.079002,0.0014889954687558,0.16942145755974442
96,4257,37.426384,-28.335586,0.0014781239834166,0.170899581543161
97,14221,265.266157,45.977939,0.0014635136780395,0.17236309522120052
98,4061,39.561705,-29.916724,0.0014593232560692,0.17382241847726973
99,4260,42.815511,-28.335586,0.0014551466146528,0.17527756509192252
100,3869,43.442478,-31.497863,0.0014532905081104,0.17673085560003293
101,3498,59.162564,-34.660141,0.0014524289492255,0.17818328454925844
102,4470,59.635635,-26.754447,0.0014523722526034,0.17963565680186183
103,4272,64.372019,-28.335586,0.0014523312846477,0.18108798808650953
104,3310,51.76439,-36.24128,0.0014510263064799,0.18253901439298942
105,8795,291.375092,3.287191,0.0014491161966315,0.1839881305896209
106,11015,289.246418,19.098579,0.0014489410788893,0.1854370716685102
107,4466,52.552822,-26.754447,0.0014457376488777,0.1868828093173879
108,15072,249.815429,55.464772,0.0014450381155983,0.1883278474329862
109,3128,49.456347,-37.822419,0.001439408067642,0.1897672555006282
110,3311,53.7248,-36.24128,0.0014358734958005,0.1912031289964287
111,3880,63.840449,-31.497863,0.001429686988327,0.19263281598475568
112,13733,273.278022,41.234523,0.0014254396697999,0.1940582556545556
113,14223,269.81662,45.977939,0.0014187742027562,0.1954770298573118
114,4464,49.011416,-26.754447,0.0014170559324908,0.1968940857898026
115,15070,244.237362,55.464772,0.0014144693721358,0.1983085551619384
116,10142,288.712194,12.774024,0.0014115718967964,0.1997201270587348
117,4471,61.406338,-26.754447,0.0014113201689903,0.20113144722772508
118,13387,277.169392,38.072245,0.0014000507497801,0.2025314979775052
119,10144,291.954725,12.774024,0.0013968557734153,0.2039283537509205
120,9473,290.469346,8.030607,0.0013947604956713,0.2053231142465918
121,14523,258.118957,49.140217,0.0013938773329844,0.2067169915795762
122,11228,287.792132,20.679718,0.0013932212096898,0.208110212789266
123,4259,41.019136,-28.335586,0.0013904782882899,0.2095006910775559
124,7434,297.319965,-6.199642,0.0013848737295885,0.2108855648071444
125,13563,276.657666,39.653384,0.0013829221779649,0.2122684869851093
126,4062,41.385918,-29.916724,0.0013815846413754,0.2136500716264847
127,4472,63.177041,-26.754447,0.0013809640666761,0.2150310356931608
128,7207,295.779275,-7.780781,0.0013809180083929,0.2164119537015537
129,4467,54.323525,-26.754447,0.0013806559052057,0.2177926096067594
130,3495,53.395772,-34.660141,0.0013721158867691,0.2191647254935285
131,4468,56.094229,-26.754447,0.0013648674736423,0.2205295929671708
132,7661,297.584559,-4.618503,0.0013646965034437,0.22189428947061451
133,4058,34.089066,-29.916724,0.0013631795292097,0.2232574689998242
134,4458,38.387196,-26.754447,0.0013585289561913,0.2246159979560155
135,4060,37.737492,-29.916724,0.0013573117886688,0.2259733097446843
136,3494,51.473508,-34.660141,0.001356004971984,0.22732931471666828
137,3688,62.625587,-33.079002,0.0013536236806536,0.22868293839732187
138,9920,289.158986,11.192885,0.0013530490321364,0.23003598742945827
139,4258,39.22276,-28.335586,0.0013499523754461,0.23138593980490438
140,3868,41.588117,-31.497863,0.0013472974236095,0.23273323722851388
141,3312,55.68521,-36.24128,0.0013425227104732,0.23407575993898708
142,4075,65.100687,-29.916724,0.0013410030985434,0.23541676303753048
143,3130,53.459661,-37.822419,0.0013403231274199,0.2367570861649504
144,3679,45.642737,-33.079002,0.0013349975004699,0.23809208366542028
145,4459,40.1579,-26.754447,0.0013339401791326,0.2394260238445529
146,4463,47.240713,-26.754447,0.0013337624204,0.2407597862649529
147,3313,57.645621,-36.24128,0.001330476157622,0.2420902624225749
148,15071,247.026395,55.464772,0.001329600605974,0.2434198630285489
149,7208,297.375106,-7.780781,0.0013295730333159,0.2447494360618648
