Rank,index,RA,Dec,Probability,CumulativeProb
1,13883,234.803897,42.815662,0.003585012497211,0.003585012497211
2,14209,237.963376,45.977939,0.003565202213303,0.007150214710514
3,13364,230.974485,38.072245,0.003546645914169,0.010696860624683
4,14048,235.307064,44.396801,0.0035451152941539,0.014241975918836901
5,13542,233.531161,39.653384,0.0035155628547921,0.017757538773629
6,13714,233.329986,41.234523,0.0035036524685956,0.0212611912422246
7,13184,230.569843,36.491106,0.0034966397068423,0.0247578309490669
8,14049,237.519958,44.396801,0.0034873173962309,0.0282451483452978
9,14516,241.200888,49.140217,0.0033779077806457,0.031623056125943495
10,14365,240.121269,47.559078,0.0033661797382008,0.0349892358641443
11,13183,228.603128,36.491106,0.0033612867070259,0.0383505225711702
12,12998,227.62938,34.909968,0.0033101690687064,0.041660691639876596
13,14364,237.778249,47.559078,0.003235396907688,0.0448960885475646
14,13541,231.477518,39.653384,0.0032314992932692,0.0481275878408338
15,12809,226.585134,33.328829,0.0032081018218851,0.0513356896627189
16,12617,225.539916,31.74769,0.0032013185487211,0.054537008211439995
17,13882,232.648418,42.815662,0.0031790406189068,0.0577160488303468
18,13884,236.959376,42.815662,0.0031578750967011,0.0608739239270479
19,12999,229.557475,34.909968,0.0031395897773059,0.0640135137043538
20,14208,235.688144,45.977939,0.0031231030827839,0.0671366167871377
21,13713,231.227457,41.234523,0.0031048039517332,0.0702414207388709
22,14210,240.238607,45.977939,0.0030904079349337,0.0733318286738046
23,14517,243.617755,49.140217,0.0030671356703509,0.0763989643441555
24,13715,235.432514,41.234523,0.0029958444945544,0.07939480883870989
25,13365,232.98296,38.072245,0.0029816658338927,0.08237647467260259
26,12810,228.47751,33.328829,0.0029790562757169,0.08535553094831949
27,14663,244.684795,50.721356,0.0029701536648797,0.08832568461319919
28,14662,242.18731,50.721356,0.0029458780994157,0.09127156271261488
29,13363,228.966011,38.072245,0.0029217717424936,0.09419333445510848
30,14804,245.49507,52.302495,0.0028814315258174,0.09707476598092588
31,14366,242.464288,47.559078,0.0028664411158663,0.09994120709679218
32,12422,225.850418,30.166551,0.0028378004299608,0.10277900752675298
33,13540,229.423875,39.653384,0.0028348177795017,0.10561382530625468
34,12618,227.399263,31.74769,0.0027383990112952,0.10835222431754989
35,14515,238.784021,49.140217,0.0026900303311305,0.11104225464868038
36,14940,246.430752,53.883634,0.0026742940488441,0.11371654869752448
37,14805,248.080774,52.302495,0.0026431947923514,0.11635974348987588
38,12224,225.858307,28.585412,0.0026330447875148,0.11899278827739068
39,12223,224.05768,28.585412,0.0025958562274253,0.12158864450481598
40,14803,242.909366,52.302495,0.0025606109789244,0.12414925548374038
41,15072,249.815429,55.464772,0.002466198918248,0.12661545440198838
42,12022,223.858373,27.004273,0.0024588277264426,0.12907428212843097
43,12421,224.021599,30.166551,0.0024563505036346,0.13153063263206557
44,14941,249.113253,53.883634,0.0024283320950887,0.13395896472715427
45,14050,239.732852,44.396801,0.0024263443634421,0.13638530909059637
46,14664,247.18228,50.721356,0.0024263080271218,0.13881161711771817
47,14047,233.09417,44.396801,0.0024086440980641,0.14122026121578227
48,13185,232.536558,36.491106,0.0023482901359401,0.14356855135172236
49,14661,239.689825,50.721356,0.0023262865884142,0.14589483794013655
50,13000,231.48557,34.909968,0.0022941932010263,0.14818903114116286
51,13543,235.584804,39.653384,0.0022266748323416,0.15041570597350445
52,12619,229.258609,31.74769,0.0022153354380941,0.15263104141159856
53,12423,227.679237,30.166551,0.0021995961885296,0.15483063760012816
54,12811,230.369886,33.328829,0.0021927012220723,0.15702333882220046
55,11817,222.640816,25.423135,0.0021924103457318,0.15921574916793227
56,13182,226.636413,36.491106,0.0021727925970768,0.16138854176500908
57,14942,251.795754,53.883634,0.0021651072398719,0.16355364900488098
58,15071,247.026395,55.464772,0.0021650907519038,0.16571873975678478
59,15198,250.70201,57.045911,0.0021315945879957,0.16785033434478047
60,12997,225.701285,34.909968,0.0021305207832111,0.16998085512799158
61,15199,253.608692,57.045911,0.0021207928163615,0.17210164794435306
62,12021,222.083752,27.004273,0.0021125622113873,0.17421421015574037
63,15073,252.604462,55.464772,0.0021107372139645,0.17632494736970486
64,12222,222.257054,28.585412,0.0021039981692544,0.17842894553895927
65,14939,243.748251,53.883634,0.0020928793179401,0.18052182485689938
66,12808,224.692758,33.328829,0.0020506786562873,0.18257250351318668
67,14518,246.034622,49.140217,0.0020221590079945,0.18459466252118117
68,13716,237.535042,41.234523,0.0020067864580134,0.18660144897919456
69,14806,250.666478,52.302495,0.0019806005058438,0.18858204948503837
70,14363,235.43523,47.559078,0.0019772867068621,0.19055933619190046
71,11816,220.890146,25.423135,0.0019599133260601,0.19251924951796057
72,13885,239.114855,42.815662,0.0019503166831131,0.19446956620107367
73,11610,222.210022,23.841996,0.0019487963311561,0.19641836253222977
74,11400,221.076945,22.260857,0.001927926211544,0.19834628874377377
75,12616,223.68057,31.74769,0.0019202907915565,0.20026657953533028
76,11818,224.391487,25.423135,0.0019058829778122,0.20217246251314247
77,15319,253.336535,58.62705,0.0018843688701637,0.20405683138330616
78,15200,256.515375,57.045911,0.0018764845790467,0.20593331596235287
79,12023,225.632994,27.004273,0.001851293606656,0.20778460956900888
80,15320,256.373644,58.62705,0.0018320935096687,0.20961670307867758
81,11609,220.481366,23.841996,0.0018265324521751,0.21144323553085267
82,14211,242.513839,45.977939,0.0017956063007155,0.2132388418315682
83,13366,234.991434,38.072245,0.0017838416003312,0.2150226834318994
84,12420,222.19278,30.166551,0.0017786639823271,0.2168013474142265
85,15436,259.65179,60.208189,0.001775352456882,0.2185766998711085
86,11188,220.190975,20.679718,0.0017532309698271,0.2203299308409356
