Rank,index,RA,Dec,Probability,CumulativeProb
1,15399,141.9057,60.208189,0.0025314735195282,0.0025314735195282
2,15715,140.117967,64.951605,0.0024961579872423,0.0050276315067705
3,15616,142.635606,63.370467,0.0024827541057215,0.0075103856124919995
4,15615,139.10801,63.370467,0.0024416425446163,0.0099520281571083
5,15510,141.186541,61.789328,0.0024405611495028,0.0123925893066111
6,15511,144.531346,61.789328,0.0024065450093909,0.014799134316002
7,15283,144.000622,58.62705,0.002381433807369,0.017180568123371
8,15809,140.257775,66.532744,0.0022535411466732,0.0194341092700442
9,15897,138.378701,68.113883,0.0021833475382963,0.0216174568083405
10,15509,137.841737,61.789328,0.0021655342122783,0.023782991020618798
11,15400,145.088027,60.208189,0.0021352976737434,0.025918288694362197
12,15808,136.287308,66.532744,0.0021221745606775,0.0280404632550397
13,15898,142.620375,68.113883,0.0021144634505854,0.0301549267056251
14,15716,143.852497,64.951605,0.0020866189906181,0.0322415456962432
15,15714,136.383437,64.951605,0.0020737088830363,0.034315254579279496
16,15161,143.15476,57.045911,0.0020038181569035,0.036319072736183
17,15810,144.228242,66.532744,0.0020022936766151,0.0383213664127981
18,15034,143.832159,55.464772,0.0019791559405977,0.0403005223533958
19,15162,146.061443,57.045911,0.001977880269929,0.042278402623324794
20,15282,140.963514,58.62705,0.0019703026939646,0.044248705317289395
21,14902,144.495717,53.883634,0.0019645611304194,0.046213266447708796
22,14624,147.282876,50.721356,0.0019081207579549,0.048121387205663696
23,15980,140.885583,69.695022,0.0019002184664397,0.0500216056721034
24,15035,146.621193,55.464772,0.0018864676923653,0.0519080733644687
25,15617,146.163202,63.370467,0.0018771877699062,0.053785261134374894
26,15398,138.723373,60.208189,0.0018549272049238,0.05564018833929869
27,15979,136.329212,69.695022,0.001854658769039,0.057494847108337695
28,15284,147.037731,58.62705,0.0018529188797354,0.05934776598807309
29,14477,146.943074,49.140217,0.0018362889466172,0.06118405493469029
30,14903,147.178218,53.883634,0.0018269060462166,0.06301096098090689
31,14623,144.785391,50.721356,0.001790479961563,0.06480144094246988
32,16054,127.368929,71.276161,0.0017835538354518,0.06658499477792168
33,15614,135.580414,63.370467,0.0017778551077119,0.06836284988563358
34,14765,144.652615,52.302495,0.0017610991501239,0.07012394903575749
35,14766,147.238319,52.302495,0.0017566116642342,0.07188056069999169
36,14325,146.400498,47.559078,0.001743335238703,0.07362389593869469
37,14901,141.813216,53.883634,0.0017422447141663,0.07536614065286099
38,15033,141.043126,55.464772,0.0017154619717898,0.07708160262465079
39,15160,140.248078,57.045911,0.0017119091880916,0.07879351181274238
40,15512,147.87615,61.789328,0.001702546419431,0.08049605823217339
41,15163,148.968125,57.045911,0.0016946280858137,0.0821906863179871
42,14478,149.359941,49.140217,0.0016919047086054,0.0838825910265925
43,14476,144.526206,49.140217,0.0016887755487508,0.0855713665753433
44,16188,115.491826,74.438438,0.0016876173678918,0.0872589839432351
45,15401,148.270354,60.208189,0.0016867210129406,0.0889457049561757
46,14764,142.066911,52.302495,0.001674035268541,0.0906197402247167
