Rank,index,RA,Dec,Probability,CumulativeProb
1,1090,18.402113,-26.754447,0.0969326211708869,0.0969326211708869
2,1091,21.943519,-26.754447,0.0762067539823488,0.1731393751532357
3,1192,19.04636,-23.592169,0.0743086430503899,0.24744801820362558
4,992,22.000251,-29.916724,0.0616443976931852,0.3090924158968108
5,897,25.57294,-33.079002,0.0543531444419977,0.3634455603388085
6,991,18.351825,-29.916724,0.0424410925956793,0.4058866529344878
7,993,25.648677,-29.916724,0.0372270466510265,0.4431136995855143
8,1191,15.595664,-23.592169,0.035034125127849,0.47814782471336326
9,896,21.798974,-33.079002,0.0300876171510618,0.508235441864425
10,1193,22.497056,-23.592169,0.0275811629012034,0.5358166047656284
11,898,29.346907,-33.079002,0.0211846362251812,0.5570012409908096
12,1089,14.860706,-26.754447,0.0210069610228166,0.5780082020136262
13,1296,17.658821,-20.429891,0.0201765981746791,0.5981848001883053
14,805,24.961973,-36.24128,0.0199316632366798,0.6181164634249852
15,806,28.882794,-36.24128,0.0170635652734549,0.63518002869844
16,1092,25.484926,-26.754447,0.0122025330001139,0.6473825616985539
17,1297,21.033357,-20.429891,0.010610829002891,0.6579933907014449
18,3288,170.093432,36.491106,0.0095127559937541,0.667506146695199
19,994,29.297103,-29.916724,0.0089299026712206,0.6764360493664197
20,1295,14.284285,-20.429891,0.0088837260037701,0.6853197753701897
21,3379,173.485812,39.653384,0.0077740568307189,0.6930938322009086
22,3194,167.502966,33.328829,0.0077144353200778,0.7008082675209863
23,3195,171.287718,33.328829,0.007468968777975,0.7082772362989613
24,990,14.703399,-29.916724,0.0070521367531498,0.7153293730521111
25,3465,173.589963,42.815662,0.0069003948808779,0.722229767932989
26,3547,177.315972,45.977939,0.0068903113440018,0.7291200792769907
27,895,18.025007,-33.079002,0.0068500423376145,0.7359701216146053
28,3378,169.378526,39.653384,0.0062447729681396,0.7422148945827449
29,3097,167.088049,30.166551,0.0059972455689808,0.7482121401517258
