,Method,Budget,TimeSec
0,Genetic,10,4.77993
1,Genetic,20,4.95006
2,Genetic,30,4.16695
3,Genetic,40,7.52269
4,Genetic,50,8.25375
5,Genetic,60,28.3474
6,Genetic,70,40.1097
7,Genetic,80,47.8141
8,Genetic,90,67.0257
9,Genetic,100,57.2587
10,Greedy,10,4.2861e-05
11,Greedy,20,4.5576e-05
12,Greedy,30,4.258e-05
13,Greedy,40,4.2987e-05
14,Greedy,50,2.641e-05
15,Greedy,60,2.8817e-05
16,Greedy,70,4.1915e-05
17,Greedy,80,3.0545e-05
18,Greedy,90,4.3557e-05
19,Greedy,100,3.2082e-05
20,Hoogeveen,10,0.0393569
21,Hoogeveen,20,0.0430579
22,Hoogeveen,30,0.0442675
23,Hoogeveen,40,0.0529543
24,Hoogeveen,50,0.0618874
25,Hoogeveen,60,0.0607091
26,Hoogeveen,70,0.0678111
27,Hoogeveen,80,0.0637939
28,Hoogeveen,90,0.109632
29,Hoogeveen,100,0.10534
