Method,Dataset,Budget,SlewRate,DwellTime,NumTiles,SumProb,TotalCost,TimeSec,Path
Greedy,../data_RTSS/small_cases/filtered_GW200129_065458.fits_7dt.csv,10,50,1,11,0.516738,9.41734,4.948e-06,0 1 2 3 4 5 6 7 8 9 188
Genetic,../data_RTSS/small_cases/filtered_GW200129_065458.fits_7dt.csv,10,50,1,11,0.516738,9.27612,8.71812,0 1 6 5 4 2 8 3 9 7 188
AntColony,../data_RTSS/small_cases/filtered_GW200129_065458.fits_7dt.csv,10,50,1,11,0.516738,9.29156,2.17197,0 1 6 4 3 9 7 8 2 5 188
Hoogeveen,../data_RTSS/small_cases/filtered_GW200129_065458.fits_7dt.csv,10,50,1,11,0.516738,9.35199,0.000527,0 1 7 9 3 8 2 4 5 6 188
Gurobi,../data_RTSS/small_cases/filtered_GW200129_065458.fits_7dt.csv,10,50,1,11,0.516738,9.48259,1.73688,0 1 3 2 8 7 4 9 6 5 188
Greedy,../data_RTSS/small_cases/filtered_GW200129_065458.fits_7dt.csv,20,50,1,20,0.679472,19.6266,6.102e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 20 188
Genetic,../data_RTSS/small_cases/filtered_GW200129_065458.fits_7dt.csv,20,50,1,21,0.689582,19.8889,6.32266,0 5 10 6 12 15 17 1 11 3 9 13 8 2 22 7 16 4 14 20 188
AntColony,../data_RTSS/small_cases/filtered_GW200129_065458.fits_7dt.csv,20,50,1,21,0.689582,19.6935,3.57124,0 1 5 22 8 7 13 16 9 3 2 4 11 17 15 20 12 6 10 14 188
Hoogeveen,../data_RTSS/small_cases/filtered_GW200129_065458.fits_7dt.csv,20,50,1,20,0.680015,19.9811,0.00131701,0 1 12 6 10 5 4 11 3 2 8 7 9 13 14 15 16 17 18 188
Gurobi,../data_RTSS/small_cases/filtered_GW200129_065458.fits_7dt.csv,20,50,1,21,0.690063,19.985,1.61287,0 5 2 8 7 13 9 16 3 11 4 1 17 15 6 10 14 12 20 21 188
Greedy,../data_RTSS/small_cases/filtered_GW200129_065458.fits_7dt.csv,30,50,1,27,0.747858,29.9729,5.968e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 29 188
Genetic,../data_RTSS/small_cases/filtered_GW200129_065458.fits_7dt.csv,30,50,1,29,0.76413,29.7094,8.64142,0 17 15 26 27 24 21 23 20 14 12 6 5 22 13 16 9 8 11 3 1 10 4 2 7 25 19 18 188
AntColony,../data_RTSS/small_cases/filtered_GW200129_065458.fits_7dt.csv,30,50,1,30,0.764287,29.77,7.40068,0 1 17 15 26 20 30 23 14 12 6 10 5 4 11 3 2 34 22 28 25 7 8 9 16 13 33 19 18 188
Hoogeveen,../data_RTSS/small_cases/filtered_GW200129_065458.fits_7dt.csv,30,50,1,29,0.76413,29.5134,0.00339056,0 1 24 21 27 20 23 14 12 26 15 17 6 10 5 22 2 4 11 3 8 25 7 9 16 13 19 18 188
Gurobi,../data_RTSS/small_cases/filtered_GW200129_065458.fits_7dt.csv,30,50,1,30,0.76438,29.9947,33005.3,0 10 14 23 20 30 15 26 12 6 17 32 11 4 1 5 8 7 2 3 9 16 13 33 25 22 28 19 18 188
Greedy,../data_RTSS/small_cases/filtered_GW200129_065458.fits_7dt.csv,40,50,1,34,0.798469,39.7878,5.293e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 35 188
Genetic,../data_RTSS/small_cases/filtered_GW200129_065458.fits_7dt.csv,40,50,1,38,0.823893,39.2551,4.4179,0 10 23 30 12 6 4 22 34 7 13 9 25 28 8 3 2 5 1 15 14 20 27 21 35 24 29 31 26 17 32 11 16 33 19 18 36 188
AntColony,../data_RTSS/small_cases/filtered_GW200129_065458.fits_7dt.csv,40,50,1,39,0.822073,39.8036,4.60081,0 1 41 24 35 29 21 31 38 40 27 30 23 20 26 15 17 6 12 14 10 5 4 11 3 2 34 22 8 28 7 9 16 13 25 33 37 19 188
Hoogeveen,../data_RTSS/small_cases/filtered_GW200129_065458.fits_7dt.csv,40,50,1,39,0.829846,39.987,0.00378583,0 1 35 24 29 21 31 27 30 20 23 12 26 15 17 3 11 32 4 2 5 6 14 10 34 22 28 8 33 25 7 9 16 13 37 19 36 18 188
Gurobi,../data_RTSS/small_cases/filtered_GW200129_065458.fits_7dt.csv,40,50,1,39,0.829846,39.8503,913.204,0 1 4 2 22 34 5 10 14 23 20 30 29 35 24 21 31 27 26 12 6 15 17 32 11 3 9 16 13 37 33 25 7 8 28 19 36 18 188
Greedy,../data_RTSS/small_cases/filtered_GW200129_065458.fits_7dt.csv,50,50,1,40,0.835782,49.6154,7.132e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 188
Genetic,../data_RTSS/small_cases/filtered_GW200129_065458.fits_7dt.csv,50,50,1,48,0.871022,49.9418,4.54223,0 8 9 13 3 4 32 17 2 11 16 37 45 44 1 14 12 24 35 29 21 31 41 38 27 40 42 30 23 20 26 15 6 5 10 34 22 25 28 7 33 39 43 18 36 19 55 188
AntColony,../data_RTSS/small_cases/filtered_GW200129_065458.fits_7dt.csv,50,50,1,48,0.86538,49.5616,6.00806,0 1 23 27 21 29 24 41 31 38 40 60 30 20 48 26 15 17 32 11 28 22 34 10 14 12 6 5 2 4 3 9 25 8 7 13 16 45 37 33 19 39 18 36 43 58 46 188
Hoogeveen,../data_RTSS/small_cases/filtered_GW200129_065458.fits_7dt.csv,50,50,1,48,0.872268,49.6062,0.00700889,0 1 35 24 29 41 21 38 31 40 27 42 30 20 23 12 26 14 10 6 15 17 32 4 25 7 8 28 22 34 5 2 3 11 44 9 16 13 33 37 45 19 36 39 18 43 46 188
