Method,Dataset,Budget,SlewRate,DwellTime,NumTiles,SumProb,TotalCost,TimeSec,Path
Greedy,../data_RTSS/small_cases/filtered_GW200129_065458.fits_7dt_separate.csv,0,50,1,2,0,0,2.142e-06,0 55
Genetic,../data_RTSS/small_cases/filtered_GW200129_065458.fits_7dt_separate.csv,0,50,1,2,0,0,53.3453,0 55
AntColony,../data_RTSS/small_cases/filtered_GW200129_065458.fits_7dt_separate.csv,0,50,1,0,0,-2,1.53386,
Hoogeveen,../data_RTSS/small_cases/filtered_GW200129_065458.fits_7dt_separate.csv,0,50,1,2,0,0,5.6579e-05,0 55
Gurobi,../data_RTSS/small_cases/filtered_GW200129_065458.fits_7dt_separate.csv,0,50,1,2,0,0,0.0409209,0 55
Greedy,../data_RTSS/small_cases/filtered_GW200129_065458.fits_7dt_separate.csv,10,50,1,10,0.757168,8.94373,3.59e-06,0 1 2 3 4 5 6 7 8 55
Genetic,../data_RTSS/small_cases/filtered_GW200129_065458.fits_7dt_separate.csv,10,50,1,11,0.777369,9.88144,35.0012,0 1 4 10 5 2 6 3 7 8 55
AntColony,../data_RTSS/small_cases/filtered_GW200129_065458.fits_7dt_separate.csv,10,50,1,11,0.777369,9.88144,19.9202,0 1 4 10 5 2 6 3 7 8 55
Hoogeveen,../data_RTSS/small_cases/filtered_GW200129_065458.fits_7dt_separate.csv,10,50,1,11,0.777169,9.87694,0.000519339,0 1 4 5 2 6 3 7 8 11 55
Gurobi,../data_RTSS/small_cases/filtered_GW200129_065458.fits_7dt_separate.csv,10,50,1,11,0.777369,9.89976,0.305162,0 1 5 10 4 2 6 7 3 8 55
Greedy,../data_RTSS/small_cases/filtered_GW200129_065458.fits_7dt_separate.csv,20,50,1,15,0.852875,19.2312,4.205e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 55
Genetic,../data_RTSS/small_cases/filtered_GW200129_065458.fits_7dt_separate.csv,20,50,1,19,0.897108,19.6403,18.6601,0 1 4 10 5 2 6 7 13 8 11 18 14 3 15 16 9 12 55
AntColony,../data_RTSS/small_cases/filtered_GW200129_065458.fits_7dt_separate.csv,20,50,1,19,0.896395,19.6597,0.697392,0 1 21 13 8 11 14 7 3 6 2 5 4 10 15 12 9 16 55
Hoogeveen,../data_RTSS/small_cases/filtered_GW200129_065458.fits_7dt_separate.csv,20,50,1,19,0.900287,19.5193,0.00143279,0 1 13 8 11 17 14 7 3 6 2 4 5 10 15 16 9 12 55
Gurobi,../data_RTSS/small_cases/filtered_GW200129_065458.fits_7dt_separate.csv,20,50,1,19,0.900287,19.9768,27.857,0 14 7 1 5 11 8 13 17 3 2 6 4 10 15 12 16 9 55
Greedy,../data_RTSS/small_cases/filtered_GW200129_065458.fits_7dt_separate.csv,30,50,1,22,0.921344,29.2352,2.677e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 55
Genetic,../data_RTSS/small_cases/filtered_GW200129_065458.fits_7dt_separate.csv,30,50,1,28,0.94954,29.3478,8.36368,0 1 5 10 4 7 22 20 19 8 13 24 21 23 11 17 18 14 6 2 3 15 25 16 9 12 26 55
AntColony,../data_RTSS/small_cases/filtered_GW200129_065458.fits_7dt_separate.csv,30,50,1,28,0.94954,29.3227,0.844105,0 1 24 21 13 23 8 11 19 17 20 18 22 7 14 3 6 2 5 4 10 15 25 16 9 12 26 55
Hoogeveen,../data_RTSS/small_cases/filtered_GW200129_065458.fits_7dt_separate.csv,30,50,1,28,0.94954,29.2604,0.00206742,0 1 21 24 13 23 8 11 19 17 20 18 22 14 7 3 6 2 4 5 10 15 25 16 9 12 26 55
Gurobi,../data_RTSS/small_cases/filtered_GW200129_065458.fits_7dt_separate.csv,30,50,1,29,0.952729,29.9775,32.9175,0 1 3 14 18 20 17 11 23 21 24 13 8 19 28 22 7 6 2 4 5 10 15 25 12 26 9 16 55
Greedy,../data_RTSS/small_cases/filtered_GW200129_065458.fits_7dt_separate.csv,40,50,1,29,0.952772,39.6709,4.172e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 55
Genetic,../data_RTSS/small_cases/filtered_GW200129_065458.fits_7dt_separate.csv,40,50,1,37,0.972781,39.1757,4.37247,0 1 6 20 17 11 23 21 24 13 32 8 19 28 22 10 5 4 34 31 18 14 7 3 2 15 35 27 29 30 33 25 12 16 9 26 55
AntColony,../data_RTSS/small_cases/filtered_GW200129_065458.fits_7dt_separate.csv,40,50,1,38,0.973381,39.4971,0.815137,0 1 6 7 22 31 28 11 32 13 24 44 21 23 8 19 17 20 18 14 3 2 5 4 15 10 35 36 27 29 30 33 25 12 26 9 16 55
Hoogeveen,../data_RTSS/small_cases/filtered_GW200129_065458.fits_7dt_separate.csv,40,50,1,38,0.974344,39.7116,0.00286914,0 1 21 24 13 23 8 32 19 11 17 28 31 20 18 22 7 14 34 3 6 2 4 5 10 15 35 36 27 29 30 33 25 16 9 12 26 55
Gurobi,../data_RTSS/small_cases/filtered_GW200129_065458.fits_7dt_separate.csv,40,50,1,38,0.974344,39.937,151.242,0 3 34 14 18 20 17 11 23 21 24 13 8 32 19 28 31 22 7 6 2 4 1 35 10 5 15 36 33 30 29 27 9 26 12 25 16 55
