Method,Dataset,Budget,SlewRate,DwellTime,NumTiles,SumProb,TotalCost,TimeSec,Path
Greedy,../data_RTSS/small_cases/filtered_GW200311_115853.fits_7dt.csv,0,50,1,2,0,0,2.092e-06,0 45
Genetic,../data_RTSS/small_cases/filtered_GW200311_115853.fits_7dt.csv,0,50,1,2,0,0,5.56378,0 45
AntColony,../data_RTSS/small_cases/filtered_GW200311_115853.fits_7dt.csv,0,50,1,0,0,0,0.720674,0 45
Hoogeveen,../data_RTSS/small_cases/filtered_GW200311_115853.fits_7dt.csv,0,50,1,2,0,0,7.3028e-05,0 45
Gurobi,../data_RTSS/small_cases/filtered_GW200311_115853.fits_7dt.csv,0,50,1,2,0,0,0.04134,0 45
Greedy,../data_RTSS/small_cases/filtered_GW200311_115853.fits_7dt.csv,10,50,1,11,0.595221,9.61783,2.783e-06,0 1 2 3 4 5 6 7 8 9 45
Genetic,../data_RTSS/small_cases/filtered_GW200311_115853.fits_7dt.csv,10,50,1,11,0.595221,9.31182,13.8699,0 1 4 9 7 6 2 3 8 5 45
AntColony,../data_RTSS/small_cases/filtered_GW200311_115853.fits_7dt.csv,10,50,1,11,0.595221,9.31182,0.378299,0 1 4 9 7 6 2 3 8 5 45
Hoogeveen,../data_RTSS/small_cases/filtered_GW200311_115853.fits_7dt.csv,10,50,1,11,0.595221,9.34576,0.000558383,0 1 3 8 5 2 6 7 9 4 45
Gurobi,../data_RTSS/small_cases/filtered_GW200311_115853.fits_7dt.csv,10,50,1,11,0.595221,9.46929,0.247612,0 9 1 4 2 5 8 3 6 7 45
Greedy,../data_RTSS/small_cases/filtered_GW200311_115853.fits_7dt.csv,20,50,1,20,0.848806,19.3815,3.705e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 45
Genetic,../data_RTSS/small_cases/filtered_GW200311_115853.fits_7dt.csv,20,50,1,21,0.861648,19.8937,7.85837,0 1 16 15 2 3 11 4 12 17 7 18 13 9 6 10 5 8 19 14 45
AntColony,../data_RTSS/small_cases/filtered_GW200311_115853.fits_7dt.csv,20,50,1,21,0.861648,19.7191,1.17054,0 1 13 18 17 9 11 10 4 7 12 6 2 5 8 3 15 16 14 19 45
Hoogeveen,../data_RTSS/small_cases/filtered_GW200311_115853.fits_7dt.csv,20,50,1,21,0.861648,19.7274,0.00185015,0 1 14 19 16 15 3 8 5 10 2 6 12 4 11 9 7 17 13 18 45
Gurobi,../data_RTSS/small_cases/filtered_GW200311_115853.fits_7dt.csv,20,50,1,21,0.861648,19.8761,0.224746,0 16 15 3 14 19 8 1 6 5 2 10 11 9 7 17 13 4 12 18 45
Greedy,../data_RTSS/small_cases/filtered_GW200311_115853.fits_7dt.csv,30,50,1,29,0.931816,29.7112,2.532e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 45
