Method,Dataset,Budget,SlewRate,DwellTime,NumTiles,SumProb,TotalCost,TimeSec,Path
Greedy,../data_RTSS/small_cases2/filtered_GW200316_215756_104nodes.csv,70,50,1,61,0.766194,69.6037,3.913e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 40 41 42 46 48 50 52 53 54 56 60 64 65 66 67 70 73 74 76 79 80 104
Genetic,../data_RTSS/small_cases2/filtered_GW200316_215756_104nodes.csv,70,50,1,67,0.774189,69.2666,10.3331,0 5 3 1 10 86 24 27 73 64 67 29 2 11 14 33 7 46 48 28 79 23 76 32 41 65 83 34 40 25 26 70 74 17 19 21 60 66 30 9 56 53 37 22 87 52 54 8 20 16 4 31 12 13 15 80 38 36 50 88 85 42 18 6 35 89 104
AntColony,../data_RTSS/small_cases2/filtered_GW200316_215756_104nodes.csv,70,50,1,69,0.776566,69.5477,2.3222,0 1 85 80 18 24 54 27 73 64 67 4 16 13 52 12 9 2 6 15 8 3 5 7 10 11 14 50 88 42 20 38 36 33 86 35 89 29 30 31 87 92 66 40 60 34 23 21 28 48 94 46 56 22 25 70 53 74 26 17 19 37 83 65 41 76 32 79 104
Hoogeveen,../data_RTSS/small_cases2/filtered_GW200316_215756_104nodes.csv,70,50,1,69,0.77659,69.8667,0.0134267,0 1 83 37 25 26 70 53 74 17 19 65 41 23 32 76 79 60 34 21 66 40 28 22 56 46 48 92 87 31 30 9 35 89 91 29 7 5 14 11 10 86 33 36 38 50 88 85 42 20 3 8 80 18 24 2 15 6 4 12 52 67 13 64 16 27 54 73 104
Gurobi,../data_RTSS/small_cases2/filtered_GW200316_215756_104nodes.csv,70,50,1,69,0.776582,69.7832,3.28416,0 1 12 31 87 30 91 29 9 7 5 10 35 86 33 36 11 38 14 50 88 42 80 85 18 20 3 2 8 15 24 54 27 73 64 16 6 4 52 67 13 48 66 40 94 46 56 22 28 21 23 17 19 37 83 74 26 53 70 25 65 41 76 32 79 34 60 89 104
Greedy,../data_RTSS/small_cases2/filtered_GW200316_215756_104nodes.csv,80,50,1,69,0.77659,79.3578,4.143e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 40 41 42 46 48 50 52 53 54 56 60 64 65 66 67 70 73 74 76 79 80 83 85 86 87 88 89 91 92 104
Genetic,../data_RTSS/small_cases2/filtered_GW200316_215756_104nodes.csv,80,50,1,74,0.782035,77.8819,9.33809,0 7 73 2 3 92 6 8 18 20 15 1 10 85 14 86 11 33 9 30 64 46 83 41 65 70 74 76 23 60 66 26 25 28 91 40 21 17 19 53 37 101 29 5 89 87 31 56 12 13 4 96 52 54 27 80 24 35 36 38 42 50 88 16 67 94 22 48 34 102 79 32 104 104
AntColony,../data_RTSS/small_cases2/filtered_GW200316_215756_104nodes.csv,80,50,1,74,0.782035,74.8612,3.35399,0 1 7 10 11 14 3 5 2 9 30 29 91 101 65 76 102 32 41 23 53 74 104 83 37 19 17 26 25 70 56 22 46 48 28 21 34 79 60 40 66 92 94 87 31 96 52 67 64 73 27 16 13 12 4 6 15 54 24 18 8 20 42 80 85 88 50 38 36 33 86 35 89 104
Hoogeveen,../data_RTSS/small_cases2/filtered_GW200316_215756_104nodes.csv,80,50,1,74,0.782035,75.4388,0.01148,0 1 85 80 42 88 50 14 18 24 54 27 73 64 16 15 8 20 3 11 38 36 33 86 10 5 7 35 89 29 91 30 9 67 13 6 2 4 12 52 96 31 87 94 92 79 60 34 40 66 48 21 28 22 46 56 25 17 37 83 65 41 76 32 23 19 26 70 53 74 101 102 104 104
Gurobi,../data_RTSS/small_cases2/filtered_GW200316_215756_104nodes.csv,80,50,1,74,0.782035,79.965,1.74762,0 11 29 91 101 12 25 70 22 46 48 87 92 56 85 18 66 64 73 54 1 38 88 9 7 20 50 15 2 67 10 35 6 52 16 96 53 89 26 74 21 32 34 80 42 24 36 4 13 8 86 79 19 94 65 41 60 40 104 83 76 102 28 37 3 14 23 5 33 30 27 31 17 104
Greedy,../data_RTSS/small_cases2/filtered_GW200316_215756_104nodes.csv,90,50,1,74,0.782035,84.8826,3.863e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 40 41 42 46 48 50 52 53 54 56 60 64 65 66 67 70 73 74 76 79 80 83 85 86 87 88 89 91 92 94 96 101 102 104 104
Genetic,../data_RTSS/small_cases2/filtered_GW200316_215756_104nodes.csv,90,50,1,74,0.782035,78.346,23.7684,0 1 9 50 15 13 4 64 73 67 70 104 74 66 11 7 30 101 92 86 33 76 21 34 83 25 23 28 37 26 41 19 65 40 46 60 22 56 5 14 88 20 8 85 29 2 38 10 54 6 18 80 27 16 87 32 79 102 53 17 94 48 36 42 24 31 52 96 12 89 91 3 35 104
AntColony,../data_RTSS/small_cases2/filtered_GW200316_215756_104nodes.csv,90,50,1,74,0.782035,75.1522,2.13492,0 1 80 85 42 11 2 8 18 20 88 50 38 36 33 14 3 5 10 7 29 30 74 104 83 65 41 76 102 79 60 40 66 70 53 26 37 19 23 32 34 21 17 56 25 22 28 48 46 94 92 87 101 91 12 31 96 52 67 64 73 27 54 24 15 6 16 13 4 9 89 35 86 104
Hoogeveen,../data_RTSS/small_cases2/filtered_GW200316_215756_104nodes.csv,90,50,1,74,0.782035,75.4388,0.0145936,0 1 85 80 42 88 50 14 18 24 54 27 73 64 16 15 8 20 3 11 38 36 33 86 10 5 7 35 89 29 91 30 9 67 13 6 2 4 12 52 96 31 87 94 92 79 60 34 40 66 48 21 28 22 46 56 25 17 37 83 65 41 76 32 23 19 26 70 53 74 101 102 104 104
Gurobi,../data_RTSS/small_cases2/filtered_GW200316_215756_104nodes.csv,90,50,1,74,0.782035,85.3379,0.723833,0 74 2 9 91 87 86 88 16 64 65 67 92 94 34 19 40 56 73 21 7 101 46 6 54 96 66 14 31 30 104 50 35 5 79 13 22 83 24 17 28 8 15 70 85 33 10 23 18 20 1 36 12 48 29 38 32 3 102 4 37 42 25 26 53 76 11 80 89 60 27 41 52 104
Greedy,../data_RTSS/small_cases2/filtered_GW200316_215756_104nodes.csv,100,50,1,74,0.782035,84.8826,4.005e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 40 41 42 46 48 50 52 53 54 56 60 64 65 66 67 70 73 74 76 79 80 83 85 86 87 88 89 91 92 94 96 101 102 104 104
Genetic,../data_RTSS/small_cases2/filtered_GW200316_215756_104nodes.csv,100,50,1,74,0.782035,78.3866,12.9736,0 1 86 66 48 25 104 19 50 3 8 24 73 64 13 10 29 30 7 9 11 85 88 92 22 46 28 26 74 76 60 102 41 65 83 21 70 40 34 79 23 33 15 14 20 2 18 4 54 42 16 38 80 12 52 27 6 31 101 35 36 5 89 87 96 94 91 56 37 53 17 32 67 104
AntColony,../data_RTSS/small_cases2/filtered_GW200316_215756_104nodes.csv,100,50,1,74,0.782035,75.1002,2.2461,0 1 33 86 89 10 35 29 7 5 3 14 11 36 38 50 88 85 42 20 64 13 67 17 76 102 41 19 26 37 65 83 104 74 53 70 25 56 22 46 28 21 23 60 79 32 34 40 66 48 94 92 101 91 30 9 12 31 87 96 52 4 2 8 15 6 16 73 27 54 24 18 80 104
Hoogeveen,../data_RTSS/small_cases2/filtered_GW200316_215756_104nodes.csv,100,50,1,74,0.782035,75.4388,0.0156802,0 1 85 80 42 88 50 14 18 24 54 27 73 64 16 15 8 20 3 11 38 36 33 86 10 5 7 35 89 29 91 30 9 67 13 6 2 4 12 52 96 31 87 94 92 79 60 34 40 66 48 21 28 22 46 56 25 17 37 83 65 41 76 32 23 19 26 70 53 74 101 102 104 104
