Method,Dataset,Budget,SlewRate,DwellTime,NumTiles,SumProb,TotalCost,TimeSec,Path
Greedy,../data_RTSS/small_cases2/filtered_GW200316_215756_70nodes.csv,0,50,1,2,0,0,2.293e-06,0 70
Genetic,../data_RTSS/small_cases2/filtered_GW200316_215756_70nodes.csv,0,50,1,2,0,0,10.7152,0 70
AntColony,../data_RTSS/small_cases2/filtered_GW200316_215756_70nodes.csv,0,50,1,0,0,-1,0.232896,
Hoogeveen,../data_RTSS/small_cases2/filtered_GW200316_215756_70nodes.csv,0,50,1,2,0,0,4.3734e-05,0 70
Gurobi,../data_RTSS/small_cases2/filtered_GW200316_215756_70nodes.csv,0,50,1,2,0,0,0.0490534,0 70
Greedy,../data_RTSS/small_cases2/filtered_GW200316_215756_70nodes.csv,10,50,1,11,0.432364,9.53805,3.769e-06,0 1 2 3 4 5 6 7 8 9 70
Genetic,../data_RTSS/small_cases2/filtered_GW200316_215756_70nodes.csv,10,50,1,11,0.432364,9.27446,9.76452,0 1 2 6 4 9 7 5 3 8 70
AntColony,../data_RTSS/small_cases2/filtered_GW200316_215756_70nodes.csv,10,50,1,11,0.432364,9.28683,0.416523,0 1 6 4 2 8 3 5 7 9 70
Hoogeveen,../data_RTSS/small_cases2/filtered_GW200316_215756_70nodes.csv,10,50,1,11,0.432364,9.33164,0.000540423,0 1 8 5 3 2 6 4 9 7 70
Gurobi,../data_RTSS/small_cases2/filtered_GW200316_215756_70nodes.csv,10,50,1,11,0.432364,9.38243,0.31513,0 1 8 3 2 9 5 7 4 6 70
Greedy,../data_RTSS/small_cases2/filtered_GW200316_215756_70nodes.csv,20,50,1,20,0.581187,19.6633,2.739e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 70
Genetic,../data_RTSS/small_cases2/filtered_GW200316_215756_70nodes.csv,20,50,1,21,0.591454,19.8801,6.47428,0 1 4 13 12 9 7 10 11 14 3 5 2 8 15 18 6 16 17 19 70
AntColony,../data_RTSS/small_cases2/filtered_GW200316_215756_70nodes.csv,20,50,1,21,0.591433,19.8061,3.73154,0 1 4 6 2 8 3 5 7 10 11 14 20 18 15 16 13 12 9 17 70
Hoogeveen,../data_RTSS/small_cases2/filtered_GW200316_215756_70nodes.csv,20,50,1,21,0.591454,19.8963,0.00147573,0 1 18 8 15 6 16 13 12 4 2 14 3 11 5 10 7 9 17 19 70
Gurobi,../data_RTSS/small_cases2/filtered_GW200316_215756_70nodes.csv,20,50,1,21,0.591454,19.9203,0.514158,0 12 13 16 6 2 8 3 5 1 7 10 11 14 18 15 4 9 17 19 70
Greedy,../data_RTSS/small_cases2/filtered_GW200316_215756_70nodes.csv,30,50,1,28,0.653053,29.4903,3.149e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 70
Genetic,../data_RTSS/small_cases2/filtered_GW200316_215756_70nodes.csv,30,50,1,30,0.66661,29.2993,7.66133,0 1 13 15 24 18 20 8 2 3 14 11 10 5 7 9 25 26 19 23 21 17 22 28 12 4 6 16 27 70
AntColony,../data_RTSS/small_cases2/filtered_GW200316_215756_70nodes.csv,30,50,1,30,0.66661,29.0877,0.822289,0 1 2 4 6 15 8 3 5 7 10 11 14 20 18 24 27 16 13 12 9 28 21 23 19 26 25 22 17 70
Hoogeveen,../data_RTSS/small_cases2/filtered_GW200316_215756_70nodes.csv,30,50,1,30,0.66661,29.2606,0.00304091,0 1 24 15 8 18 20 3 14 11 10 7 27 16 13 4 6 2 5 9 12 21 23 19 26 25 17 22 28 70
Gurobi,../data_RTSS/small_cases2/filtered_GW200316_215756_70nodes.csv,30,50,1,30,0.66661,29.5416,162.038,0 1 5 3 13 16 24 18 8 20 14 11 10 7 26 28 21 23 19 17 25 22 27 15 2 6 4 12 9 70
Greedy,../data_RTSS/small_cases2/filtered_GW200316_215756_70nodes.csv,40,50,1,37,0.70405,39.9742,4.142e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 40 70
Genetic,../data_RTSS/small_cases2/filtered_GW200316_215756_70nodes.csv,40,50,1,40,0.716876,39.9071,8.47979,0 7 29 30 31 9 12 13 35 36 10 33 11 20 14 3 5 1 2 8 24 15 18 27 16 6 4 25 26 23 34 32 28 22 19 37 17 21 40 70
AntColony,../data_RTSS/small_cases2/filtered_GW200316_215756_70nodes.csv,40,50,1,40,0.716113,39.3458,1.10654,0 1 2 8 18 24 15 6 27 16 13 4 12 9 7 10 11 5 3 20 14 36 33 35 29 30 31 48 28 21 34 32 23 19 17 22 25 26 37 70
Hoogeveen,../data_RTSS/small_cases2/filtered_GW200316_215756_70nodes.csv,40,50,1,40,0.717236,39.6433,0.00584472,0 1 24 6 4 38 36 33 10 35 29 30 12 13 16 27 15 8 18 20 14 11 3 2 5 7 9 31 28 23 32 34 21 17 22 25 26 19 37 70
Gurobi,../data_RTSS/small_cases2/filtered_GW200316_215756_70nodes.csv,40,50,1,40,0.717236,39.9218,1.41708,0 1 15 6 2 38 20 3 11 14 36 33 10 9 30 31 12 4 13 16 27 24 18 8 35 5 7 29 37 26 25 34 32 28 21 23 19 22 17 70
Greedy,../data_RTSS/small_cases2/filtered_GW200316_215756_70nodes.csv,50,50,1,45,0.733711,49.9967,3.16e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 40 41 42 46 48 70
Genetic,../data_RTSS/small_cases2/filtered_GW200316_215756_70nodes.csv,50,50,1,49,0.744477,49.853,17.8707,0 20 42 8 13 10 7 29 35 33 5 1 2 3 14 11 30 46 48 28 40 21 34 41 37 19 25 23 22 26 17 32 53 16 6 15 27 24 54 18 50 38 36 9 4 31 12 52 70
AntColony,../data_RTSS/small_cases2/filtered_GW200316_215756_70nodes.csv,50,50,1,50,0.746605,49.8819,1.64743,0 1 35 10 29 30 9 7 5 3 2 6 15 42 50 38 36 33 11 14 20 8 18 24 54 27 16 4 12 13 52 31 46 22 25 53 26 37 19 17 23 21 28 48 40 60 34 32 41 70
Hoogeveen,../data_RTSS/small_cases2/filtered_GW200316_215756_70nodes.csv,50,50,1,50,0.746882,49.9446,0.00499276,0 1 42 20 50 14 38 36 33 10 35 29 7 11 3 5 2 54 8 18 24 15 27 16 6 4 13 52 12 9 30 31 48 28 37 26 53 25 56 46 22 17 19 41 23 32 34 21 40 70
Gurobi,../data_RTSS/small_cases2/filtered_GW200316_215756_70nodes.csv,50,50,1,50,0.746882,49.9887,1.76252,0 35 29 5 11 10 33 36 38 14 50 42 20 3 2 6 15 8 18 24 54 27 12 4 16 13 52 31 30 9 1 7 40 28 48 46 22 56 25 26 53 19 37 17 21 23 41 32 34 70
Greedy,../data_RTSS/small_cases2/filtered_GW200316_215756_70nodes.csv,60,50,1,53,0.75282,59.9652,3.265e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 40 41 42 46 48 50 52 53 54 56 60 64 65 70
Genetic,../data_RTSS/small_cases2/filtered_GW200316_215756_70nodes.csv,60,50,1,56,0.758275,57.5645,5.57518,0 5 9 29 66 13 8 20 14 11 2 3 1 10 33 7 30 31 64 67 34 60 40 25 46 70 26 65 41 23 21 22 56 53 37 19 32 28 17 35 48 12 52 4 6 18 16 27 54 15 36 38 50 42 24 70
AntColony,../data_RTSS/small_cases2/filtered_GW200316_215756_70nodes.csv,60,50,1,56,0.758275,56.4229,1.34182,0 1 2 5 36 38 50 20 42 18 24 15 64 67 53 37 65 23 41 32 34 21 56 70 26 19 17 25 22 46 48 28 40 60 66 29 30 7 35 10 33 11 14 3 8 6 4 12 9 31 52 13 16 27 54 70
Hoogeveen,../data_RTSS/small_cases2/filtered_GW200316_215756_70nodes.csv,60,50,1,56,0.758275,56.2838,0.00605582,0 1 42 20 50 14 38 36 33 10 35 29 7 11 3 5 2 54 15 24 18 8 27 6 4 64 67 16 13 52 12 9 30 31 48 40 66 28 22 46 56 25 17 65 19 26 70 53 37 41 23 21 34 32 60 70
Gurobi,../data_RTSS/small_cases2/filtered_GW200316_215756_70nodes.csv,60,50,1,56,0.758275,59.9653,0.442568,0 64 13 56 11 29 9 10 15 12 53 17 21 23 32 48 6 24 1 5 50 18 2 42 7 52 4 35 27 60 25 41 46 28 22 14 8 67 16 30 40 34 26 19 37 70 36 54 31 38 3 20 33 65 66 70
Greedy,../data_RTSS/small_cases2/filtered_GW200316_215756_70nodes.csv,70,50,1,56,0.758275,63.4704,1.9159e-05,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 40 41 42 46 48 50 52 53 54 56 60 64 65 66 67 70 70
Genetic,../data_RTSS/small_cases2/filtered_GW200316_215756_70nodes.csv,70,50,1,56,0.758275,58.0193,7.28106,0 42 15 24 13 9 1 4 2 67 64 30 33 11 10 29 7 56 40 60 22 46 25 65 37 26 70 23 41 19 28 48 38 14 20 8 35 50 18 6 36 5 3 27 54 52 16 12 31 34 66 21 32 17 53 70
AntColony,../data_RTSS/small_cases2/filtered_GW200316_215756_70nodes.csv,70,50,1,56,0.758275,56.2309,1.69501,0 1 9 30 29 7 10 11 14 20 8 3 5 2 53 70 25 26 37 65 41 32 34 60 40 66 48 28 21 23 19 17 22 56 46 31 12 52 67 64 16 13 4 6 27 54 15 24 18 42 50 38 36 33 35 70
Hoogeveen,../data_RTSS/small_cases2/filtered_GW200316_215756_70nodes.csv,70,50,1,56,0.758275,60.0165,0.00598844,0 1 19 21 34 32 23 17 26 25 22 28 30 31 12 9 29 35 10 33 11 14 20 18 8 3 5 7 2 6 4 13 16 15 24 27 36 37 38 40 41 42 46 48 50 52 53 54 56 60 64 65 66 67 70 70
Gurobi,../data_RTSS/small_cases2/filtered_GW200316_215756_70nodes.csv,70,50,1,56,0.758275,62.9347,0.339436,0 27 65 29 56 38 13 41 48 6 36 37 28 24 5 64 26 54 4 52 17 46 12 32 33 42 11 70 2 15 35 20 34 40 16 7 21 53 19 1 8 10 60 14 3 67 18 50 30 9 23 31 25 22 66 70
Greedy,../data_RTSS/small_cases2/filtered_GW200316_215756_70nodes.csv,80,50,1,56,0.758275,63.4704,2.922e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 40 41 42 46 48 50 52 53 54 56 60 64 65 66 67 70 70
Genetic,../data_RTSS/small_cases2/filtered_GW200316_215756_70nodes.csv,80,50,1,56,0.758275,57.9633,10.6719,0 15 13 48 66 29 7 2 42 20 11 38 1 5 10 64 56 70 25 46 19 17 37 26 65 41 23 21 22 34 60 28 40 33 14 8 30 9 52 54 18 24 27 3 50 36 35 6 4 12 16 67 31 53 32 70
AntColony,../data_RTSS/small_cases2/filtered_GW200316_215756_70nodes.csv,80,50,1,56,0.758275,56.279,1.38746,0 1 42 20 3 14 50 38 36 33 11 10 2 5 7 35 29 9 30 66 40 60 34 32 41 23 21 28 48 46 53 37 65 19 26 70 25 17 22 56 52 67 64 13 16 27 54 24 18 8 15 6 4 12 31 70
Hoogeveen,../data_RTSS/small_cases2/filtered_GW200316_215756_70nodes.csv,80,50,1,56,0.758275,60.0165,0.00625573,0 1 19 21 34 32 23 17 26 25 22 28 30 31 12 9 29 35 10 33 11 14 20 18 8 3 5 7 2 6 4 13 16 15 24 27 36 37 38 40 41 42 46 48 50 52 53 54 56 60 64 65 66 67 70 70
