Method,Dataset,Budget,SlewRate,DwellTime,NumTiles,SumProb,TotalCost,TimeSec,Path
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,10,50,1,11,0.505729,9.98818,2.804e-06,0 1 2 3 4 5 6 7 8 10 100
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,10,50,1,11,0.508235,9.57382,0.00122363,0 1 8 3 2 4 6 9 5 7 100
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,10,50,1,11,0.508235,9.71898,0.274863,0 1 2 4 6 8 3 9 5 7 100
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,20,50,1,19,0.657993,19.6857,2.68e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 100
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,20,50,1,20,0.666923,19.4167,0.00185155,0 1 15 14 9 5 11 19 7 16 2 4 6 10 17 13 3 8 12 100
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,20,50,1,20,0.666923,19.1298,0.647214,0 1 12 8 13 17 3 10 2 16 7 19 11 15 14 5 9 4 6 100
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,30,50,1,27,0.707314,29.5295,3.07e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 19 20 24 27 33 37 40 42 100
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,30,50,1,29,0.714392,29.1063,0.00269615,0 1 40 13 17 20 42 8 12 24 6 5 11 19 7 16 3 10 2 4 9 27 37 14 15 33 43 47 100
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,30,50,1,30,0.717478,29.9674,0.626563,0 12 42 8 3 1 6 24 27 9 37 14 49 43 47 33 15 11 19 5 7 4 16 2 10 17 13 20 40 100
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,40,50,1,35,0.727641,39.8428,3.319e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 19 20 24 27 33 37 40 42 43 47 49 56 63 65 67 81 100
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,40,50,1,38,0.73275,39.7586,0.00387709,0 1 74 70 65 47 15 49 43 33 56 11 19 16 67 7 5 14 37 9 27 12 24 6 4 2 10 3 8 42 13 17 63 40 20 69 73 100
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,40,50,1,39,0.734208,39.6284,2.80975,0 1 2 16 67 10 3 17 13 63 40 69 20 42 8 12 24 6 27 37 14 5 9 4 7 19 11 56 33 15 49 43 47 65 78 74 75 70 100
