Method,Dataset,Budget,SlewRate,DwellTime,NumTiles,SumProb,TotalCost,TimeSec,Path
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200308_173609_7dt_separate.csv,10,50,1,10,0.0269871,9.20904,5.6509e-05,0 1 2 3 4 5 6 7 8 3762
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200308_173609_7dt_separate.csv,10,50,1,11,0.0301024,9.71821,0.0704387,0 1 6 8 2 3 5 7 4 9 3762
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200308_173609_7dt_separate.csv,10,50,1,11,0.0301024,9.71821,510.362,0 1 6 8 2 3 5 7 4 9 3762
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200308_173609_7dt_separate.csv,200,50,1,130,0.238655,199.102,5.9999e-05,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 28 30 31 32 35 36 37 39 40 42 43 45 50 54 62 64 65 67 71 73 74 77 83 85 100 101 103 104 105 108 110 114 116 117 119 120 122 124 125 126 128 132 133 134 137 139 140 144 145 146 148 150 151 152 153 154 155 157 158 161 164 167 168 174 178 183 185 186 188 190 193 195 199 200 201 202 209 212 216 217 219 220 224 234 237 238 240 242 243 246 247 249 254 261 264 265 267 268 270 274 275 276 279 3762
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200308_173609_7dt_separate.csv,200,50,1,182,0.284336,199.44,0.179158,0 1 361 276 347 396 306 286 298 246 212 392 289 264 332 379 308 216 297 168 267 307 157 137 161 152 37 20 16 13 24 108 340 330 114 39 319 125 275 388 174 104 73 101 42 67 202 120 243 237 305 261 83 154 158 45 64 188 220 209 320 401 274 406 296 185 117 126 43 85 348 372 386 403 265 287 397 292 219 190 110 134 122 195 65 25 23 128 238 354 155 35 31 356 133 201 315 103 12 28 5 3 21 11 17 132 383 124 19 304 74 6 15 2 8 50 183 234 145 254 186 100 30 36 7 4 22 9 10 14 62 18 54 151 224 355 279 217 144 338 270 358 293 178 391 148 140 153 164 384 335 247 200 116 146 290 139 32 40 71 167 119 77 105 150 193 242 281 339 378 365 294 240 199 352 300 268 249 303 357 408 3762
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200308_173609_7dt_separate.csv,200,50,1,183,0.285932,199.779,1211.12,0 1 361 276 347 396 306 286 298 246 212 392 289 264 332 379 308 216 297 168 267 307 157 137 161 152 37 39 125 275 388 174 104 73 101 42 67 202 120 243 237 305 261 83 154 158 64 188 220 209 320 401 274 406 348 296 185 117 126 43 85 145 254 186 100 30 36 7 4 22 201 28 5 3 21 11 17 2 19 6 15 8 50 183 234 372 386 403 265 287 397 292 219 190 110 134 224 355 279 217 144 338 270 358 195 65 25 14 18 62 151 54 10 9 31 133 356 354 155 35 128 238 32 23 40 122 178 293 410 391 148 140 153 164 384 335 247 200 116 290 146 139 71 167 119 77 105 150 193 242 281 339 378 365 294 240 199 352 300 268 249 303 357 408 315 103 12 132 383 124 304 340 74 13 108 330 319 114 24 16 45 20 3762
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200308_173609_7dt_separate.csv,400,50,1,238,0.319385,399.723,6.0869e-05,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 28 30 31 32 35 36 37 39 40 42 43 45 50 54 62 64 65 67 71 73 74 77 83 85 100 101 103 104 105 108 110 114 116 117 119 120 122 124 125 126 128 132 133 134 137 139 140 144 145 146 148 150 151 152 153 154 155 157 158 161 164 167 168 174 178 183 185 186 188 190 193 195 199 200 201 202 209 212 216 217 219 220 224 234 237 238 240 242 243 246 247 249 254 261 264 265 267 268 270 274 275 276 279 281 286 287 289 290 292 293 294 296 297 298 300 303 304 305 306 307 308 315 319 320 330 332 335 338 339 340 347 348 352 354 355 356 357 358 361 365 372 378 379 383 384 386 388 391 392 396 397 401 403 406 408 409 410 414 415 416 418 422 425 426 427 431 436 439 440 441 451 453 455 456 458 459 461 465 468 469 470 471 474 475 476 477 478 485 486 487 490 491 494 495 498 499 500 502 507 514 517 519 520 521 522 523 524 525 527 528 533 3762
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200308_173609_7dt_separate.csv,400,50,1,354,0.364703,399.931,0.448101,0 1 451 651 767 665 808 290 426 514 615 664 711 710 705 695 698 704 744 599 648 714 654 546 690 552 461 365 294 240 199 164 153 140 148 357 303 249 268 300 352 436 539 666 701 612 543 498 474 485 566 737 765 722 669 637 458 391 292 588 731 549 667 636 763 804 781 536 563 568 486 532 459 495 591 729 681 606 564 530 416 355 219 265 186 100 85 733 103 12 3 21 11 361 305 237 188 64 276 527 675 742 655 579 441 533 587 788 643 154 83 117 50 15 16 20 158 45 24 108 19 2 17 132 851 571 124 383 660 408 671 315 619 201 468 133 356 642 354 155 31 9 14 65 25 23 35 128 238 32 40 71 139 146 116 200 247 335 384 439 477 499 524 542 567 476 431 378 339 281 242 193 150 105 77 119 167 122 178 410 469 569 502 650 578 786 719 756 745 656 584 523 475 415 358 293 195 270 144 338 279 217 62 151 224 134 54 18 10 4 22 28 5 7 30 36 110 190 287 397 403 494 470 386 372 453 525 791 422 406 471 491 688 573 565 507 440 401 478 414 320 261 220 209 274 185 183 296 348 234 254 145 126 43 8 6 13 74 304 627 340 635 330 659 548 812 629 319 114 39 42 101 275 125 37 120 243 347 427 617 747 743 522 418 396 298 456 517 520 646 723 538 465 455 246 137 161 152 286 306 202 67 73 104 174 388 570 307 157 267 528 773 798 558 168 212 392 576 577 589 726 776 689 732 769 760 686 645 644 692 521 677 425 289 216 264 308 297 537 634 379 500 596 639 490 409 332 487 519 638 621 739 774 3762
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200308_173609_7dt_separate.csv,400,50,1,354,0.364703,399.931,328.665,0 1 451 651 767 665 808 290 426 514 615 664 711 710 705 695 698 704 744 599 648 714 654 546 690 552 461 365 294 240 199 164 153 140 148 357 303 249 268 300 352 436 539 666 701 612 543 498 474 485 566 737 765 722 669 637 458 391 292 588 731 549 667 636 763 804 781 536 563 568 486 532 459 495 591 729 681 606 564 530 416 355 219 265 186 100 85 733 103 12 3 21 11 361 305 237 188 64 276 527 675 742 655 579 441 533 587 788 643 154 83 117 50 15 16 20 158 45 24 108 19 2 17 132 851 571 124 383 660 408 671 315 619 201 468 133 356 642 354 155 31 9 14 65 25 23 35 128 238 32 40 71 139 146 116 200 247 335 384 439 477 499 524 542 567 476 431 378 339 281 242 193 150 105 77 119 167 122 178 410 469 569 502 650 578 786 719 756 745 656 584 523 475 415 358 293 195 270 144 338 279 217 62 151 224 134 54 18 10 4 22 28 5 7 30 36 110 190 287 397 403 494 470 386 372 453 525 791 422 406 471 491 688 573 565 507 440 401 478 414 320 261 220 209 274 185 183 296 348 234 254 145 126 43 8 6 13 74 304 627 340 635 330 659 548 812 629 319 114 39 42 101 275 125 37 120 243 347 427 617 747 743 522 418 396 298 456 517 520 646 723 538 465 455 246 137 161 152 286 306 202 67 73 104 174 388 570 307 157 267 528 773 798 558 168 212 392 576 577 589 726 776 689 732 769 760 686 645 644 692 521 677 425 289 216 264 308 297 537 634 379 500 596 639 490 409 332 487 519 638 621 739 774 3762
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200308_173609_7dt_separate.csv,600,50,1,337,0.359921,599.724,7.2362e-05,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 28 30 31 32 35 36 37 39 40 42 43 45 50 54 62 64 65 67 71 73 74 77 83 85 100 101 103 104 105 108 110 114 116 117 119 120 122 124 125 126 128 132 133 134 137 139 140 144 145 146 148 150 151 152 153 154 155 157 158 161 164 167 168 174 178 183 185 186 188 190 193 195 199 200 201 202 209 212 216 217 219 220 224 234 237 238 240 242 243 246 247 249 254 261 264 265 267 268 270 274 275 276 279 281 286 287 289 290 292 293 294 296 297 298 300 303 304 305 306 307 308 315 319 320 330 332 335 338 339 340 347 348 352 354 355 356 357 358 361 365 372 378 379 383 384 386 388 391 392 396 397 401 403 406 408 409 410 414 415 416 418 422 425 426 427 431 436 439 440 441 451 453 455 456 458 459 461 465 468 469 470 471 474 475 476 477 478 485 486 487 490 491 494 495 498 499 500 502 507 514 517 519 520 521 522 523 524 525 527 528 530 532 533 536 537 538 539 542 543 546 548 549 552 558 563 564 565 566 567 568 569 570 571 573 576 577 578 579 584 587 588 589 591 596 599 606 612 615 617 619 621 627 629 634 635 636 637 638 639 642 643 644 645 646 648 650 651 654 655 656 659 660 664 665 666 667 669 671 675 677 681 686 688 689 690 692 695 698 701 704 705 710 711 714 719 722 723 726 729 731 732 733 737 739 742 743 744 745 747 756 3762
