Method,Dataset,Budget,SlewRate,DwellTime,NumTiles,SumProb,TotalCost,TimeSec,Path
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,10,50,1,10,0.341824,9.391,3.721e-06,0 1 2 3 4 5 6 7 8 100
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,10,50,1,11,0.37418,9.7699,4.01189,0 1 5 6 2 9 3 4 7 8 100
AntColony,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,10,50,1,11,0.37418,9.81263,5.12801,0 1 6 2 5 9 3 4 7 8 100
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,10,50,1,11,0.37418,9.94308,0.00147797,0 1 6 2 5 9 3 8 7 4 100
HoogeveenParallel,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,10,50,1,11,0.37418,9.94308,0.00307001,0 1 6 2 5 9 3 8 7 4 100
Hoogeveen+Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,10,50,1,11,0.37418,9.7699,4.34905,0 1 5 6 2 9 3 4 7 8 100
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,10,50,1,11,0.37418,9.8418,0.38236,0 5 9 6 2 1 3 4 7 8 100
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,20,50,1,18,0.544992,19.8436,3.358e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 20 100
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,20,50,1,20,0.582429,19.867,3.85082,0 1 5 6 15 13 2 9 3 14 12 11 4 7 17 10 8 18 16 100
AntColony,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,20,50,1,20,0.580779,19.7416,0.966555,0 1 5 6 15 20 13 2 9 3 14 12 11 4 7 8 10 18 16 100
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,20,50,1,20,0.582429,19.9822,0.00187608,0 1 15 13 6 2 5 9 14 3 11 12 4 7 8 10 16 17 18 100
HoogeveenParallel,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,20,50,1,20,0.582429,19.6596,0.00389016,0 1 15 13 6 2 5 9 3 14 12 11 4 7 8 10 17 18 16 100
Hoogeveen+Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,20,50,1,20,0.582429,19.867,4.61041,0 1 5 6 15 13 2 9 3 14 12 11 4 7 17 10 8 18 16 100
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,20,50,1,20,0.582429,19.7889,1.17739,0 1 9 2 5 13 15 6 14 3 12 11 4 7 8 10 17 18 16 100
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,30,50,1,24,0.644336,29.3972,4.061e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 100
