Method,Dataset,Budget,SlewRate,DwellTime,NumTiles,SumProb,TotalCost,TimeSec,Path
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191105_143521_7dt_separate.csv,10,50,1,10,0.333157,9.81224,2.565e-06,0 1 2 3 4 5 6 7 8 100
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191105_143521_7dt_separate.csv,10,50,1,11,0.353226,9.62976,7.81305,0 1 8 3 4 2 5 9 6 10 100
AntColony,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191105_143521_7dt_separate.csv,10,50,1,11,0.353226,9.66799,0.434792,0 1 5 9 10 6 2 8 3 4 100
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191105_143521_7dt_separate.csv,10,50,1,11,0.352759,9.74606,0.00105758,0 1 4 3 11 9 6 5 2 8 100
HoogeveenParallel,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191105_143521_7dt_separate.csv,10,50,1,11,0.352759,9.93516,0.0036282,0 1 6 5 2 11 8 3 4 9 100
Hoogeveen+Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191105_143521_7dt_separate.csv,10,50,1,11,0.353226,9.62976,8.76443,0 1 8 3 4 2 5 9 6 10 100
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191105_143521_7dt_separate.csv,10,50,1,11,0.355962,9.99,0.435161,0 1 6 5 2 8 3 4 12 7 100
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191105_143521_7dt_separate.csv,20,50,1,17,0.491307,19.1698,2.707e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 100
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191105_143521_7dt_separate.csv,20,50,1,20,0.536859,19.6626,6.62662,0 1 3 8 2 5 9 10 6 14 11 17 4 16 12 15 7 13 18 100
AntColony,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191105_143521_7dt_separate.csv,20,50,1,20,0.536132,19.5448,2.75547,0 1 8 3 2 5 9 21 10 6 14 11 17 4 16 12 13 7 15 100
