Method,Dataset,Budget,SlewRate,DwellTime,NumTiles,SumProb,TotalCost,TimeSec,Path
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191105_143521_7dt_separate.csv,10,50,1,10,0.333157,9.81224,3.095e-06,0 1 2 3 4 5 6 7 8 100
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191105_143521_7dt_separate.csv,10,50,1,11,0.353226,9.62976,6.54517,0 1 8 3 4 2 5 9 6 10 100
AntColony,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191105_143521_7dt_separate.csv,10,50,1,11,0.355962,9.97385,0.682083,0 1 2 6 5 8 3 4 12 7 100
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191105_143521_7dt_separate.csv,10,50,1,10,0.333157,9.49582,0.000727461,0 1 6 5 2 3 4 7 8 100
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191105_143521_7dt_separate.csv,10,50,1,11,0.355962,9.99,0.414794,0 1 6 5 2 8 3 4 12 7 100
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191105_143521_7dt_separate.csv,20,50,1,17,0.491307,19.1698,2.993e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 100
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191105_143521_7dt_separate.csv,20,50,1,20,0.536859,19.6626,4.50983,0 1 3 8 2 5 9 10 6 14 11 17 4 16 12 15 7 13 18 100
AntColony,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191105_143521_7dt_separate.csv,20,50,1,20,0.536859,19.5294,0.832641,0 1 8 3 2 5 9 10 6 14 11 17 4 16 12 18 13 7 15 100
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191105_143521_7dt_separate.csv,20,50,1,20,0.536859,19.6048,0.000899016,0 1 10 6 9 5 14 11 2 8 3 17 4 16 12 18 13 7 15 100
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191105_143521_7dt_separate.csv,20,50,1,20,0.536859,19.9118,0.780169,0 1 11 5 14 6 9 10 8 2 17 4 16 3 12 18 7 13 15 100
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191105_143521_7dt_separate.csv,30,50,1,24,0.578761,29.0992,2.812e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 100
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191105_143521_7dt_separate.csv,30,50,1,29,0.620518,29.6763,3.81048,0 4 16 3 8 2 5 9 21 35 10 6 14 11 1 17 12 26 31 27 34 20 19 15 7 22 13 18 100
AntColony,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191105_143521_7dt_separate.csv,30,50,1,29,0.620518,29.387,1.23007,0 1 2 5 9 21 35 10 6 14 11 17 4 3 8 16 12 26 18 13 22 7 31 19 20 15 27 34 100
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191105_143521_7dt_separate.csv,30,50,1,29,0.620518,29.5768,0.00201179,0 1 35 10 21 9 5 6 14 11 2 8 3 17 26 4 16 12 18 13 31 7 22 19 20 15 27 34 100
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191105_143521_7dt_separate.csv,30,50,1,29,0.620518,29.9608,8.34228,0 35 21 9 5 2 11 14 6 10 1 17 4 16 3 8 12 26 31 13 18 22 7 19 20 34 27 15 100
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191105_143521_7dt_separate.csv,40,50,1,31,0.634096,39.3268,2.926e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 26 27 31 34 35 37 39 100
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191105_143521_7dt_separate.csv,40,50,1,38,0.670324,39.4922,4.33559,0 1 3 8 47 21 35 44 10 6 9 5 14 2 11 43 17 4 16 58 12 26 39 37 31 13 18 22 7 40 15 19 20 27 34 49 54 100
