Method,Dataset,Budget,SlewRate,DwellTime,NumTiles,SumProb,TotalCost,TimeSec,Path
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,10,50,1,10,0.341824,9.391,3.99e-06,0 1 2 3 4 5 6 7 8 100
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,10,50,1,11,0.37418,9.94308,0.00093575,0 1 6 2 5 9 3 8 7 4 100
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,10,50,1,11,0.37418,9.8418,0.425559,0 5 9 6 2 1 3 4 7 8 100
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,20,50,1,18,0.544992,19.8436,4.191e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 20 100
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,20,50,1,20,0.582429,19.9822,0.00135044,0 1 15 13 6 2 5 9 14 3 11 12 4 7 8 10 16 17 18 100
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,20,50,1,20,0.582429,19.7889,1.16511,0 1 9 2 5 13 15 6 14 3 12 11 4 7 8 10 17 18 16 100
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,30,50,1,24,0.644336,29.3972,4.209e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 100
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,30,50,1,29,0.713331,29.4065,0.00249788,0 1 20 15 13 6 21 2 5 9 24 14 3 11 12 25 4 7 8 10 23 17 19 27 18 16 26 22 100
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,30,50,1,29,0.713331,29.4708,5.73759,0 1 9 5 2 6 21 15 20 13 24 14 3 11 12 25 4 7 8 10 23 17 19 27 18 16 26 22 100
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,40,50,1,31,0.735173,39.0018,4.011e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 30 100
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,40,50,1,38,0.795075,39.3192,0.00371765,0 1 34 36 20 15 30 13 28 21 6 35 2 5 9 24 14 3 11 12 25 4 7 32 8 10 23 17 19 27 31 18 16 26 22 29 33 100
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,40,50,1,39,0.799129,39.9942,29.4253,0 1 5 2 35 6 13 15 20 36 43 30 28 21 37 9 24 14 3 11 12 4 25 32 7 8 10 23 17 19 27 31 18 16 26 22 29 33 100
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,50,50,1,36,0.780737,49.599,4.099e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 100
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,50,50,1,47,0.84086,49.8797,0.00522277,0 1 40 34 36 20 43 30 15 13 28 21 6 35 2 37 5 9 24 14 3 11 12 25 4 7 32 44 8 10 23 17 19 27 31 18 16 26 39 22 42 29 33 41 38 45 100
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,50,50,1,48,0.84461,49.9764,7.11541,0 1 5 2 35 6 13 15 20 48 34 40 36 43 30 28 21 37 9 24 14 3 11 12 25 4 7 32 44 8 10 45 23 17 19 27 31 18 16 26 39 22 29 42 33 41 38 100
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,60,50,1,42,0.817993,59.3765,4.115e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 100
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,60,50,1,56,0.871067,59.6052,0.00771102,0 1 18 39 22 29 41 38 52 33 42 54 26 16 31 27 19 17 23 53 10 45 44 32 8 51 7 4 25 12 11 3 14 24 49 5 9 37 2 35 6 21 28 13 15 30 43 20 48 34 36 40 47 46 50 100
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,60,50,1,57,0.873654,59.9859,5.10476,0 1 49 5 2 35 6 13 56 15 48 34 47 55 50 46 40 36 20 43 30 28 21 37 9 24 14 3 11 12 25 4 7 32 44 8 51 53 10 45 23 17 19 27 31 18 16 26 39 22 29 42 33 41 38 52 100
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,70,50,1,48,0.84461,69.956,4.659e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 48 100
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,70,50,1,65,0.891936,69.4876,0.00771872,0 1 18 39 22 29 41 38 52 33 42 54 26 16 61 31 27 19 17 23 53 10 45 44 32 8 51 63 7 4 25 12 11 3 60 49 5 14 24 9 37 2 35 58 6 21 28 13 56 15 30 43 20 48 34 36 40 47 46 55 50 57 62 59 100
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,70,50,1,66,0.893923,69.9032,9.7769,0 1 24 14 12 25 32 8 44 10 45 23 27 31 61 16 26 54 42 33 52 38 41 29 22 39 64 18 19 17 53 51 63 7 4 11 3 60 49 5 9 37 2 35 58 6 21 28 13 56 15 30 43 20 48 34 36 40 47 46 55 50 57 62 59 100
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,80,50,1,54,0.865438,79.4287,4.47e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 100
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,80,50,1,74,0.906836,79.9672,0.0099127,0 1 18 64 39 22 29 41 38 66 68 52 65 33 42 54 26 16 61 31 27 19 17 23 53 10 45 44 32 8 51 63 7 25 12 4 67 11 3 14 24 60 49 5 35 2 9 37 21 6 58 56 13 28 30 43 15 70 48 20 36 34 40 47 73 46 55 50 57 62 59 77 82 100
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,80,50,1,74,0.906836,79.5037,601.115,0 1 24 14 12 25 32 4 7 8 44 45 23 27 31 61 26 39 22 42 54 29 33 41 65 38 68 66 52 64 16 18 19 17 10 53 51 63 67 11 3 60 49 5 9 37 2 21 28 6 13 35 58 56 70 15 30 43 20 48 34 36 47 40 73 77 46 55 50 57 62 59 82 100
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,90,50,1,60,0.881416,89.4384,3.981e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 100
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,90,50,1,78,0.910575,85.3973,0.00956159,0 1 18 64 39 22 29 41 38 66 68 52 65 33 42 54 26 16 61 31 27 19 17 23 53 10 45 44 32 8 51 63 7 25 12 4 67 11 3 14 24 60 49 5 35 2 9 37 21 6 58 56 13 28 30 43 15 70 48 20 36 34 40 47 73 46 55 50 57 62 59 77 82 84 89 95 97 100
