Method,Dataset,Budget,SlewRate,DwellTime,NumTiles,SumProb,TotalCost,TimeSec,Path
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200208_130117_7dt_separate.csv,10,50,1,11,0.941084,9.94358,2.975e-06,0 1 2 3 4 5 6 7 8 9 100
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200208_130117_7dt_separate.csv,10,50,1,11,0.941084,9.60465,4.37616,0 8 2 9 6 3 4 1 5 7 100
AntColony,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200208_130117_7dt_separate.csv,10,50,1,11,0.941084,9.61142,0.492753,0 1 6 9 2 3 4 7 5 8 100
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200208_130117_7dt_separate.csv,10,50,1,11,0.941084,9.67312,0.0119308,0 1 6 9 3 2 8 5 7 4 100
HoogeveenParallel,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200208_130117_7dt_separate.csv,10,50,1,11,0.941084,9.67312,0.00329852,0 1 6 9 3 2 8 5 7 4 100
Hoogeveen+Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200208_130117_7dt_separate.csv,10,50,1,11,0.941084,9.63029,4.84713,0 1 3 6 9 2 8 4 7 5 100
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200208_130117_7dt_separate.csv,20,50,1,19,0.967499,19.2213,4.069e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 100
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200208_130117_7dt_separate.csv,20,50,1,20,0.968311,19.2464,3.72764,0 1 18 11 9 15 17 6 16 13 3 2 8 10 5 12 7 4 14 100
AntColony,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200208_130117_7dt_separate.csv,20,50,1,20,0.968311,19.2371,1.17348,0 1 8 18 11 9 15 17 6 16 13 3 2 14 4 7 12 5 10 100
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200208_130117_7dt_separate.csv,20,50,1,20,0.968311,19.8249,0.00289834,0 1 3 6 9 2 11 8 13 14 4 7 5 10 12 15 16 17 18 100
HoogeveenParallel,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200208_130117_7dt_separate.csv,20,50,1,20,0.968311,19.7777,0.00543918,0 1 15 9 6 2 11 3 13 14 4 7 5 8 10 12 16 17 18 100
Hoogeveen+Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200208_130117_7dt_separate.csv,20,50,1,20,0.968311,19.3029,3.54716,0 18 11 2 9 15 17 6 16 13 3 1 8 10 5 12 7 4 14 100
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200208_130117_7dt_separate.csv,30,50,1,27,0.972207,29.2057,2.807e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 100
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200208_130117_7dt_separate.csv,30,50,1,29,0.972859,29.1349,3.63316,0 18 26 11 2 9 15 21 20 17 6 16 13 3 4 14 7 19 23 22 12 5 1 8 10 24 27 25 100
AntColony,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200208_130117_7dt_separate.csv,30,50,1,30,0.973008,29.9482,0.939364,0 1 4 3 2 6 9 21 20 15 17 16 13 14 7 5 10 8 11 26 24 18 30 36 12 19 22 23 42 100
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200208_130117_7dt_separate.csv,30,50,1,29,0.972859,29.7186,0.00308182,0 1 20 21 15 17 16 13 14 3 6 9 11 24 18 8 2 4 10 5 7 12 19 22 23 25 26 27 100
HoogeveenParallel,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200208_130117_7dt_separate.csv,30,50,1,29,0.972859,29.5,0.00514645,0 1 20 21 15 17 6 16 13 3 2 9 11 18 8 10 5 4 14 23 22 19 12 7 24 25 26 27 100
Hoogeveen+Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200208_130117_7dt_separate.csv,30,50,1,29,0.972859,29.0526,3.85682,0 1 3 13 16 6 9 15 20 17 21 26 27 25 24 18 8 11 2 4 14 7 5 10 12 19 22 23 100
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200208_130117_7dt_separate.csv,40,50,1,35,0.974564,39.1941,3.615e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 30 32 35 36 42 100
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200208_130117_7dt_separate.csv,40,50,1,38,0.975174,39.1539,3.64144,0 30 18 26 11 2 3 6 9 15 17 16 13 14 4 7 19 22 42 32 35 23 47 12 36 5 1 8 10 24 27 25 48 21 28 20 51 100
AntColony,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200208_130117_7dt_separate.csv,40,50,1,39,0.975299,39.8114,3.22511,0 1 7 12 5 10 8 11 9 6 2 3 4 14 13 16 17 15 51 20 56 28 21 26 27 25 24 18 30 36 47 19 22 23 42 32 35 60 100
