Method,Dataset,Budget,SlewRate,DwellTime,NumTiles,SumProb,TotalCost,TimeSec,Path
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200208_222617_7dt.csv,10,50,1,11,0.067307,9.51614,4.443e-05,0 1 2 3 4 5 6 7 8 9 2386
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200208_222617_7dt.csv,10,50,1,7,0.0383929,5.14295,6.8474,0 1 5 3 2 4 2386
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200208_222617_7dt.csv,10,50,1,11,0.067307,9.31754,0.0362163,0 1 7 8 5 9 3 2 4 6 2386
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200208_222617_7dt.csv,20,50,1,20,0.126088,19.627,2.5773e-05,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 2386
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200208_222617_7dt.csv,20,50,1,16,0.100979,14.5206,4.84648,0 1 7 14 11 8 5 9 13 12 10 4 2 3 6 2386
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200208_222617_7dt.csv,20,50,1,21,0.132056,19.7291,0.0464696,0 1 14 15 11 8 7 18 5 9 3 6 16 17 12 10 4 2 13 19 2386
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200208_222617_7dt.csv,30,50,1,29,0.177245,29.6359,2.5027e-05,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 2386
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200208_222617_7dt.csv,30,50,1,26,0.160671,24.9918,4.48855,0 1 3 2 16 4 12 17 10 20 6 18 7 15 14 21 11 8 23 9 13 19 5 24 22 2386
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200208_222617_7dt.csv,30,50,1,30,0.18271,29.5625,0.0414149,0 1 22 14 24 15 11 21 8 23 9 5 7 18 6 20 16 3 2 13 19 4 12 17 10 25 26 27 28 2386
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200208_222617_7dt.csv,40,50,1,38,0.224331,39.8351,4.3863e-05,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 37 2386
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200208_222617_7dt.csv,40,50,1,33,0.198855,32.4087,4.83872,0 1 29 18 7 15 14 11 23 9 13 2 3 6 16 10 27 20 17 28 12 30 19 4 5 24 25 26 22 21 8 31 2386
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200208_222617_7dt.csv,40,50,1,40,0.234155,39.5511,0.0528378,0 1 35 26 11 8 37 21 22 14 25 24 15 33 7 5 32 13 2 16 20 34 29 18 6 3 9 23 19 4 10 27 36 17 12 30 28 31 38 2386
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200208_222617_7dt.csv,50,50,1,46,0.261296,49.8711,4.6026e-05,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 2386
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200208_222617_7dt.csv,50,50,1,41,0.238878,41.0795,5.23724,0 9 8 33 18 7 11 14 15 35 21 23 2 17 12 10 27 16 20 6 1 34 29 30 28 38 31 36 4 19 13 5 3 32 37 22 26 25 24 39 2386
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200208_222617_7dt.csv,50,50,1,49,0.274215,48.9816,0.0500658,0 1 47 44 36 38 31 17 16 34 20 27 10 12 28 30 4 19 2 13 40 32 23 9 5 37 8 3 6 41 29 18 7 15 33 45 24 43 42 35 39 25 26 22 46 21 14 11 2386
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200208_222617_7dt.csv,60,50,1,54,0.294696,59.5964,2.859e-05,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 2386
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200208_222617_7dt.csv,60,50,1,32,0.1936,31.1136,4.99153,0 1 29 18 7 15 14 21 11 8 9 3 6 2 16 20 10 27 17 28 12 4 30 19 13 23 5 24 25 26 22 2386
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200208_222617_7dt.csv,60,50,1,59,0.313977,59.6557,0.0550537,0 1 47 38 44 54 28 30 4 2 6 29 41 34 16 53 20 27 10 36 17 31 12 49 19 40 13 32 9 3 5 55 43 39 35 42 50 14 11 7 18 48 51 33 15 45 24 25 26 22 52 46 21 37 8 23 56 57 2386
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200208_222617_7dt.csv,70,50,1,62,0.325199,69.8378,2.5693e-05,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 2386
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200208_222617_7dt.csv,70,50,1,30,0.18271,29.1856,4.87462,0 1 18 7 15 14 21 11 8 9 3 6 2 16 20 27 10 17 28 12 19 13 23 22 26 25 24 5 4 2386
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200208_222617_7dt.csv,70,50,1,69,0.349896,69.7757,0.0610221,0 1 60 47 44 54 30 56 28 31 38 57 36 49 40 32 23 63 37 46 21 14 43 61 35 39 67 45 51 48 41 29 6 2 16 34 62 53 20 64 27 17 12 10 4 19 13 3 9 8 5 11 7 18 33 15 24 25 22 52 50 26 42 58 55 59 65 66 2386
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200208_222617_7dt.csv,80,50,1,70,0.353287,79.7019,4.7502e-05,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 2386
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200208_222617_7dt.csv,80,50,1,33,0.198855,32.1524,4.95443,0 1 29 18 7 15 14 24 25 26 22 21 11 8 23 5 9 3 2 6 20 27 10 13 16 4 19 30 12 28 17 31 2386
