Dataset,Budget,ObjectValue,ReturnValue,Gap,Runtime
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW191103_012549_7dt.csv,10,0.0317912,0.0317912,0,155.584
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW191103_012549_7dt.csv,10,0.0317912,0.0317912,0,154.8
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW191103_012549_7dt.csv,200,0.383852,0.382588,0.0033032,1205.86
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW191103_012549_7dt.csv,400,0.544944,0.544845,0.000181421,170.34
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW191103_012549_7dt.csv,600,0.630734,0.628329,0.00382754,1205.44
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW191103_012549_7dt.csv,800,0.680631,0.678755,0.00276436,1205.58
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW191103_012549_7dt.csv,1000,0.712034,0.709744,0.00322553,1205.47
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW191103_012549_7dt.csv,1200,0.729383,0.729383,0,208.009
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW191103_012549_7dt.csv,1400,0.743014,0.741383,0.00220005,1205.52
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW191103_012549_7dt.csv,1600,0.751619,0.750932,0.000914709,204.371
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW191109_010717_7dt.csv,10,0.0405953,0.0405953,0,115.5
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW191109_010717_7dt.csv,200,0.498111,0.49713,0.00197383,1206.1
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW191109_010717_7dt.csv,400,0.694788,0.694153,0.000914765,480.965
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW191109_010717_7dt.csv,600,0.778327,0.777094,0.00158628,1204.6
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW191109_010717_7dt.csv,800,0.821035,0.818274,0.00337524,1204.6
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW191109_010717_7dt.csv,1000,0.843525,0.843313,0.000251734,132.611
/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW191109_010717_7dt.csv,1200,0.857569,0.857293,0.000322539,122.546
