Method,Dataset,Budget,SlewRate,DwellTime,NumTiles,SumProb,TotalCost,TimeSec,Path
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,10,50,1,11,0.505729,9.98818,3.479e-06,0 1 2 3 4 5 6 7 8 10 100
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,10,50,1,11,0.508235,9.63814,5.32565,0 6 9 5 7 4 2 3 1 8 100
AntColony,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,10,50,1,11,0.508235,9.57382,1.20617,0 1 8 3 2 4 6 9 5 7 100
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,10,50,1,11,0.508235,9.57382,0.00081872,0 1 8 3 2 4 6 9 5 7 100
HoogeveenParallel,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,10,50,1,11,0.508235,9.7259,0.00366157,0 1 3 8 6 5 7 4 2 9 100
Hoogeveen+Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,10,50,1,11,0.508235,9.64153,3.90586,0 6 4 7 5 9 2 1 3 8 100
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,20,50,1,19,0.657993,19.6857,2.847e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 100
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,20,50,1,20,0.666923,19.368,3.68104,0 6 9 3 10 17 13 8 12 1 2 16 7 19 11 15 14 5 4 100
AntColony,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,20,50,1,20,0.666923,19.3193,0.676557,0 1 17 13 3 8 12 6 10 2 16 4 7 19 11 15 14 5 9 100
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,20,50,1,20,0.666923,19.4167,0.00227816,0 1 15 14 9 5 11 19 7 16 2 4 6 10 17 13 3 8 12 100
