Method,Dataset,Budget,SlewRate,DwellTime,NumTiles,SumProb,TotalCost,TimeSec,Path
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191230_180458_7dt_separate.csv,10,50,1,10,0.18075,9.37028,5.891e-06,0 1 2 3 4 5 6 7 8 100
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191230_180458_7dt_separate.csv,10,50,1,11,0.199765,9.85,4.44385,0 1 9 5 2 3 7 6 8 4 100
AntColony,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191230_180458_7dt_separate.csv,10,50,1,11,0.199765,9.68744,0.762942,0 1 2 9 5 3 7 4 6 8 100
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191230_180458_7dt_separate.csv,10,50,1,11,0.199765,9.71744,0.000452399,0 1 9 5 2 3 7 4 6 8 100
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191230_180458_7dt_separate.csv,10,50,1,11,0.199765,9.90506,0.595748,0 7 8 6 4 3 1 2 5 9 100
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191230_180458_7dt_separate.csv,20,50,1,18,0.321242,19.4281,6.317e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 100
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191230_180458_7dt_separate.csv,20,50,1,20,0.351205,19.7085,5.06815,0 1 3 11 12 13 10 9 16 5 15 2 7 4 6 17 8 14 18 100
AntColony,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191230_180458_7dt_separate.csv,20,50,1,20,0.347413,19.3911,1.99168,0 1 13 11 6 8 17 27 4 12 7 3 10 19 2 5 15 9 16 100
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191230_180458_7dt_separate.csv,20,50,1,20,0.351205,19.5095,0.00104313,0 1 16 9 15 2 5 10 13 11 3 7 12 4 6 17 8 14 18 100
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191230_180458_7dt_separate.csv,20,50,1,20,0.351205,19.5428,14.9599,0 1 3 11 13 5 16 9 15 2 10 7 12 4 6 17 8 14 18 100
