Method,Dataset,Budget,SlewRate,DwellTime,NumTiles,SumProb,TotalCost,TimeSec,Path
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200216_220804_7dt.csv,10,50,1,11,0.0272506,9.65082,6.6113e-05,0 1 2 3 4 5 6 7 8 9 2303
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200216_220804_7dt.csv,10,50,1,6,0.0123427,4.17844,4.81398,0 1 2 3 4 2303
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200216_220804_7dt.csv,10,50,1,11,0.0272506,9.374,0.108454,0 1 6 8 2 7 4 9 3 5 2303
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200216_220804_7dt.csv,20,50,1,20,0.0529997,19.1935,5.5049e-05,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 2303
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200216_220804_7dt.csv,20,50,1,16,0.0416979,14.4826,4.82404,0 1 6 5 11 10 12 9 13 14 2 8 3 4 7 2303
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200216_220804_7dt.csv,20,50,1,21,0.0557649,19.8142,0.110725,0 1 2 14 15 8 17 16 6 5 11 10 12 3 13 9 4 7 18 19 2303
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200216_220804_7dt.csv,30,50,1,29,0.0775702,29.3223,5.8872e-05,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 2303
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200216_220804_7dt.csv,30,50,1,21,0.0557649,19.7883,4.45119,0 1 6 17 5 11 12 7 9 13 14 2 8 15 16 19 10 3 4 18 2303
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200216_220804_7dt.csv,30,50,1,30,0.0802027,29.4562,0.107755,0 1 20 19 10 18 9 12 4 7 22 21 24 3 13 2 14 15 8 11 5 17 16 6 23 25 26 27 28 2303
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200216_220804_7dt.csv,40,50,1,38,0.100551,39.3673,5.688e-05,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 2303
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200216_220804_7dt.csv,40,50,1,32,0.0854048,31.3216,5.06015,0 1 28 23 20 24 21 12 15 14 13 9 7 18 26 30 22 4 3 2 8 5 27 19 10 11 17 6 16 25 29 2303
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200216_220804_7dt.csv,40,50,1,40,0.105498,39.8387,0.136001,0 1 30 31 7 4 12 10 27 24 21 34 22 26 32 18 35 13 9 3 2 14 15 6 28 23 16 29 25 17 8 11 5 19 20 38 33 36 37 2303
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200216_220804_7dt.csv,50,50,1,47,0.122508,49.9602,5.729e-05,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 49 2303
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200216_220804_7dt.csv,50,50,1,42,0.110434,41.7673,4.86975,0 16 17 8 11 10 12 21 34 24 27 19 20 38 1 5 15 2 14 3 4 18 22 7 26 31 30 36 39 33 37 32 35 40 13 9 25 29 6 23 28 2303
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200216_220804_7dt.csv,50,50,1,50,0.129585,49.8034,0.121646,0 1 51 47 29 43 15 25 16 6 28 48 23 38 20 41 19 5 17 8 11 10 27 24 42 34 44 22 21 4 12 3 9 35 40 14 2 13 18 32 7 26 31 30 37 33 36 39 46 2303
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200216_220804_7dt.csv,60,50,1,55,0.141321,59.9947,7.765e-05,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 54 2303
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200216_220804_7dt.csv,60,50,1,53,0.136663,53.396,6.34354,0 38 48 28 6 11 5 1 17 8 2 9 7 4 3 21 22 31 26 18 32 37 30 33 36 39 45 50 46 49 44 34 42 24 12 10 13 14 40 35 15 25 43 29 16 23 41 27 19 20 47 51 2303
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200216_220804_7dt.csv,60,50,1,59,0.150511,59.7936,0.122817,0 1 51 29 16 47 28 48 23 6 43 53 15 40 14 2 8 25 17 11 5 20 38 41 19 27 24 42 34 44 31 22 21 10 12 3 9 4 7 13 35 18 32 26 37 30 49 36 33 39 46 52 50 45 55 54 56 57 2303
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200216_220804_7dt.csv,70,50,1,62,0.15722,69.1542,5.8241e-05,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 2303
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200216_220804_7dt.csv,70,50,1,63,0.159447,64.2266,5.27477,0 57 1 38 48 56 51 47 16 3 15 14 13 18 26 31 30 42 34 44 49 46 52 50 45 54 55 59 39 36 33 37 32 35 40 53 43 29 28 25 8 20 19 41 27 5 6 23 58 60 2 9 7 4 22 21 24 12 11 17 10 61 2303
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200216_220804_7dt.csv,70,50,1,69,0.172573,69.7803,0.126328,0 1 60 16 6 73 20 38 23 57 48 28 47 56 62 64 51 58 29 25 43 14 2 13 40 68 53 15 8 17 5 19 41 27 24 61 10 11 3 9 7 32 35 18 4 12 21 42 34 44 49 31 22 26 30 37 65 33 36 46 39 52 59 50 45 55 54 63 2303
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200216_220804_7dt.csv,80,50,1,70,0.174785,79.4343,8.3102e-05,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 2303
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200216_220804_7dt.csv,80,50,1,71,0.176948,72.5383,5.20338,0 20 38 23 62 28 29 64 60 58 51 47 56 48 57 1 5 25 43 53 15 14 68 18 40 35 32 37 33 39 36 30 31 26 34 42 44 49 46 63 54 55 45 50 59 52 66 65 69 13 9 7 4 11 6 16 17 8 2 3 21 24 61 41 27 19 10 12 22 67 2303
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200216_220804_7dt.csv,80,50,1,78,0.191843,79.2345,0.141134,0 1 74 64 60 51 47 62 56 23 38 57 48 28 29 58 43 53 68 14 15 25 16 6 17 8 2 11 5 20 73 19 41 27 61 42 24 21 72 34 44 75 49 55 76 67 45 63 54 71 50 59 52 39 46 66 36 33 65 69 32 70 35 40 13 3 10 12 4 9 18 7 22 26 31 37 30 2303
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200216_220804_7dt.csv,90,50,1,78,0.191843,89.0677,5.7085e-05,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 2303
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200216_220804_7dt.csv,90,50,1,80,0.196014,82.8455,5.68112,0 1 5 3 18 7 61 42 34 40 53 43 29 28 48 56 62 64 60 58 51 47 57 38 73 26 65 67 76 71 52 46 49 44 72 75 66 59 63 54 55 45 50 39 36 33 30 31 69 70 25 23 20 19 4 13 14 15 10 12 24 21 27 41 6 8 2 68 78 74 16 17 11 9 22 35 32 37 77 2303
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200216_220804_7dt.csv,90,50,1,88,0.212414,89.5326,0.164025,0 1 84 51 62 87 64 74 60 82 58 29 6 17 25 14 40 13 35 70 18 2 3 9 7 32 69 37 26 22 4 12 11 8 15 68 53 43 78 16 47 56 48 28 23 57 38 73 20 83 41 19 5 10 27 85 61 24 21 42 72 80 44 34 31 36 66 75 49 30 33 65 79 39 46 59 52 63 50 71 54 67 45 77 55 76 81 2303
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200216_220804_7dt.csv,100,50,1,86,0.208387,99.2733,8.6334e-05,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 2303
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200216_220804_7dt.csv,100,50,1,91,0.218422,94.3019,9.87318,0 38 48 56 47 51 58 60 64 62 57 73 83 23 25 53 43 29 28 16 17 11 18 26 31 30 33 36 39 37 32 35 40 34 42 44 49 46 52 50 45 55 77 76 67 71 79 65 69 70 68 78 82 74 84 89 87 1 5 3 15 14 13 9 7 4 22 21 24 12 80 2 8 6 20 19 27 41 10 85 61 72 75 88 66 59 63 54 81 86 2303
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200216_220804_7dt.csv,100,50,1,97,0.230282,99.4334,0.164019,0 1 92 74 95 89 94 87 64 62 84 60 82 58 78 53 68 14 40 35 70 32 69 37 26 7 18 4 12 19 10 11 43 29 51 47 56 28 48 57 73 83 41 20 38 23 6 5 17 16 25 15 8 3 2 13 9 24 27 85 61 90 42 72 80 75 66 88 46 36 44 34 21 22 31 49 30 33 65 79 39 54 63 52 59 50 71 91 45 67 76 55 77 81 93 86 2303
