Budget,GCP,Genetic,Greedy
10,0.217197,13.6684,0.000119576
50,0.232758,9.58858,9.0788e-05
100,0.286724,12.1713,9.176e-05
150,0.324525,16.1803,9.4279e-05
200,0.375326,45.2959,8.5884e-05
250,0.540364,92.5997,9.289e-05
300,0.714358,101.835,9.0753e-05
350,0.794192,19.4429,0.000109298
400,1.10287,16.1266,0.000100852
450,1.33013,15.1765,0.000112839
500,1.82918,67.0526,0.000113288
550,2.51616,73.7252,8.9639e-05
600,2.73471,97.7174,0.000116561
650,3.34524,51.97,0.000118426
700,3.41448,24.2291,0.000114406
750,4.10285,24.7547,0.000130519
800,4.83207,64.3044,0.000119703
850,5.07913,30.0951,0.000101345
900,5.91352,108.291,9.8503e-05
950,6.17446,107.968,9.8206e-05
1000,7.90553,67.8827,9.95e-05
1050,9.55295,73.7255,0.000107661
1100,9.63702,47.1717,0.000101142
1150,9.18986,52.1993,0.00012094
1200,9.307,68.2684,0.000105493
