,Method,Budget,TimeSec
0,Genetic,10,9.03557
1,Genetic,100,12.7648
2,Genetic,200,16.1394
3,Genetic,300,16.9273
4,Genetic,400,13.6823
5,Genetic,500,13.4279
6,Genetic,600,16.7679
7,Genetic,700,17.2305
8,Genetic,800,25.9609
9,Genetic,900,27.2908
10,Genetic,1000,26.9507
11,Genetic,1100,24.6579
12,Genetic,1200,26.7664
13,Genetic,1300,28.8547
14,Genetic,1400,35.014
15,Genetic,1500,38.1264
16,Genetic,1600,35.4343
17,Greedy,10,4.3331e-05
18,Greedy,100,2.8355e-05
19,Greedy,200,4.607e-05
20,Greedy,300,3.4909e-05
21,Greedy,400,4.99e-05
22,Greedy,500,4.9778e-05
23,Greedy,600,5.1843e-05
24,Greedy,700,5.1517e-05
25,Greedy,800,4.9833e-05
26,Greedy,900,4.1465e-05
27,Greedy,1000,5.7329e-05
28,Greedy,1100,5.5214e-05
29,Greedy,1200,5.57e-05
30,Greedy,1300,5.7597e-05
31,Greedy,1400,5.7041e-05
32,Greedy,1500,5.5077e-05
33,Greedy,1600,5.6025e-05
34,Hoogeveen,10,0.0361527
35,Hoogeveen,100,0.0937657
36,Hoogeveen,200,0.206869
37,Hoogeveen,300,0.369355
38,Hoogeveen,400,0.568063
39,Hoogeveen,500,1.13182
40,Hoogeveen,600,1.3437
41,Hoogeveen,700,1.49381
42,Hoogeveen,800,1.93136
43,Hoogeveen,900,2.27657
44,Hoogeveen,1000,2.54564
45,Hoogeveen,1100,3.00755
46,Hoogeveen,1200,4.23363
47,Hoogeveen,1300,4.92805
48,Hoogeveen,1400,5.15202
49,Hoogeveen,1500,5.49038
50,Hoogeveen,1600,6.19321
