Method,Dataset,Budget,SlewRate,DwellTime,NumTiles,SumProb,TotalCost,TimeSec,Path
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200306_093714_7dt.csv,10,50,1,11,0.0216175,9.50019,6.3574e-05,0 1 2 3 4 5 6 7 8 9 2969
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200306_093714_7dt.csv,10,50,1,11,0.0216175,9.44875,4.85578,0 7 5 9 8 2 4 3 6 1 2969
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200306_093714_7dt.csv,10,50,1,11,0.0216175,9.30364,0.141489,0 1 7 6 5 3 4 2 8 9 2969
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200306_093714_7dt.csv,20,50,1,20,0.0403005,19.6282,5.6574e-05,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 2969
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200306_093714_7dt.csv,20,50,1,21,0.0422784,19.7838,4.45492,0 1 2 14 17 13 9 8 12 15 4 3 5 19 18 16 7 11 6 10 2969
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200306_093714_7dt.csv,20,50,1,21,0.0422784,19.8387,0.151025,0 1 9 8 14 17 13 12 15 2 3 4 10 5 6 11 18 16 7 19 2969
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200306_093714_7dt.csv,30,50,1,29,0.0574931,29.9319,5.4838e-05,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 28 2969
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200306_093714_7dt.csv,30,50,1,30,0.0593478,29.2479,4.94752,0 1 5 3 25 17 8 2 15 4 6 28 19 18 21 22 24 16 7 11 20 26 10 14 13 23 27 9 12 2969
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200306_093714_7dt.csv,30,50,1,30,0.0593478,29.3014,0.143979,0 1 27 23 13 9 12 15 8 17 2 14 25 3 4 5 10 26 6 11 7 20 16 19 24 18 21 22 28 2969
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200306_093714_7dt.csv,40,50,1,37,0.0718806,39.5316,5.6673e-05,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 2969
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200306_093714_7dt.csv,40,50,1,40,0.0770816,39.6913,6.73883,0 5 4 15 33 2 8 12 32 27 23 9 13 17 25 6 3 14 10 1 7 20 16 18 38 37 21 30 35 34 31 29 36 22 24 19 28 11 26 2969
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200306_093714_7dt.csv,40,50,1,40,0.0770816,39.6074,0.153798,0 1 36 29 31 22 35 34 30 24 21 37 38 18 16 19 28 11 6 25 3 5 7 20 26 10 33 4 2 14 17 8 15 12 9 13 23 27 32 2969
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200306_093714_7dt.csv,50,50,1,46,0.087259,49.8613,5.7077e-05,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 2969
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200306_093714_7dt.csv,50,50,1,49,0.0922913,49.3493,7.04469,0 1 10 25 2 15 8 13 27 23 9 12 17 14 3 5 6 11 40 45 20 39 38 7 41 19 16 18 21 31 34 37 46 42 22 29 36 43 35 30 24 28 26 33 4 47 32 44 2969
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200306_093714_7dt.csv,50,50,1,50,0.0936888,49.9668,0.15665,0 1 36 29 43 31 22 35 34 46 37 38 18 21 30 24 16 7 45 11 28 41 19 39 20 72 26 10 5 6 40 25 3 4 33 15 12 2 14 59 17 8 47 9 13 23 27 32 49 2969
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200306_093714_7dt.csv,60,50,1,53,0.0989042,59.7878,8.0042e-05,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 2969
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200306_093714_7dt.csv,60,50,1,58,0.107058,59.2877,5.93769,0 6 14 25 2 8 17 13 9 27 32 49 44 50 52 23 12 15 10 11 7 20 19 16 18 21 46 35 34 31 54 48 56 37 38 39 28 45 40 1 5 3 4 47 33 26 41 24 30 22 29 43 36 42 53 51 55 2969
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200306_093714_7dt.csv,60,50,1,59,0.108677,59.6292,0.15471,0 1 48 56 54 55 51 36 53 42 29 43 31 22 35 30 34 46 37 38 18 21 24 19 16 39 20 7 41 28 45 11 40 6 5 26 10 4 3 25 14 2 33 15 12 8 17 13 9 47 23 27 32 49 44 50 52 57 2969
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200306_093714_7dt.csv,70,50,1,60,0.110283,68.9933,7.937e-05,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 2969
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200306_093714_7dt.csv,70,50,1,68,0.12289,69.9801,6.04041,0 6 45 11 8 9 63 64 60 58 57 44 50 52 49 32 27 23 17 13 47 12 14 25 59 40 41 19 16 20 39 38 34 31 48 56 61 54 55 51 53 42 36 43 46 22 30 24 18 21 10 26 3 7 33 4 2 15 5 1 28 37 35 66 65 62 29 2969
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200306_093714_7dt.csv,70,50,1,69,0.124441,69.9908,0.161452,0 1 48 56 61 54 55 51 67 53 62 42 29 36 43 31 22 35 66 65 30 16 39 38 46 34 21 37 18 24 19 41 28 45 40 11 7 20 26 10 5 6 3 4 33 15 2 14 25 59 17 8 12 47 9 13 23 27 63 32 49 52 57 50 44 64 58 60 2969
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200306_093714_7dt.csv,80,50,1,68,0.12289,79.7032,6.2761e-05,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 2969
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200306_093714_7dt.csv,80,50,1,77,0.136667,79.9846,5.46146,0 63 75 58 60 64 20 16 19 18 21 24 7 11 14 59 13 17 23 27 15 12 9 8 10 72 39 38 37 70 68 69 48 56 61 54 55 51 53 42 36 43 34 35 28 6 25 3 2 4 26 33 47 32 49 52 44 57 50 73 5 1 40 45 41 71 30 22 29 31 46 65 66 62 67 74 2969
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200306_093714_7dt.csv,80,50,1,78,0.13816,79.3206,0.165865,0 1 58 64 60 44 50 73 52 57 49 32 75 63 27 23 8 4 33 15 2 12 47 9 13 17 14 59 3 25 40 6 5 10 26 72 20 71 65 30 24 19 41 28 45 11 7 16 39 38 18 21 37 46 34 35 66 62 22 31 43 29 42 53 36 51 67 70 55 68 54 61 74 56 69 48 76 2969
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200306_093714_7dt.csv,90,50,1,76,0.13517,89.4939,6.195e-05,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 2969
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200306_093714_7dt.csv,90,50,1,86,0.149935,89.397,6.93391,0 20 16 18 19 21 35 37 38 39 46 43 36 42 53 51 55 54 61 56 48 62 66 65 71 72 40 45 41 34 31 80 78 76 74 69 68 70 67 85 29 22 30 24 1 5 7 11 28 26 10 3 33 15 2 8 9 12 4 59 25 6 79 83 52 49 50 57 73 64 60 58 77 75 27 23 17 14 13 47 63 32 44 81 84 2969
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200306_093714_7dt.csv,90,50,1,88,0.152854,89.9515,0.166676,0 1 81 84 60 58 64 44 79 57 50 73 52 49 83 75 32 77 63 27 23 13 9 47 12 2 4 33 15 8 17 14 59 25 3 6 40 45 86 28 11 7 5 10 26 72 20 24 34 46 37 21 30 18 38 39 16 19 41 71 65 66 35 42 62 22 31 43 29 36 85 51 53 67 70 55 80 54 68 74 61 76 56 69 48 78 82 2969
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200306_093714_7dt.csv,100,50,1,82,0.144092,99.5418,5.5684e-05,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 2969
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200306_093714_7dt.csv,100,50,1,96,0.164319,99.9725,7.47464,0 28 20 16 39 72 33 10 6 59 90 87 9 8 4 2 3 40 45 86 19 41 37 38 18 21 35 34 31 29 68 69 48 56 61 54 55 51 53 42 36 43 22 30 24 7 11 5 1 77 75 60 64 73 32 49 52 44 50 57 58 93 81 84 89 79 83 12 15 14 47 63 27 23 17 13 25 26 46 71 65 66 62 67 70 85 80 88 74 76 78 91 82 92 100 2969
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200306_093714_7dt.csv,100,50,1,97,0.165767,99.8557,0.189556,0 1 93 81 84 60 58 64 44 79 57 50 73 52 89 49 77 32 83 75 63 27 23 87 90 13 9 47 12 2 4 33 15 8 17 14 59 25 3 6 40 45 86 28 11 7 5 10 26 72 20 24 34 46 37 21 30 18 38 39 16 19 41 71 65 66 35 42 62 22 31 43 29 36 85 51 53 67 70 55 54 80 61 74 68 88 69 56 76 78 48 91 92 82 94 95 2969
