Method,Dataset,Budget,SlewRate,DwellTime,NumTiles,SumProb,TotalCost,TimeSec,Path
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW191113_071753_7dt.csv,10,50,1,11,0.035224,9.54872,3.9326e-05,0 1 2 3 4 5 6 7 8 9 2979
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW191113_071753_7dt.csv,10,50,1,4,0.00889383,2.04068,6.05147,0 1 2 2979
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW191113_071753_7dt.csv,10,50,1,11,0.035224,9.33091,0.0468673,0 1 9 6 7 2 5 4 3 8 2979
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW191113_071753_7dt.csv,20,50,1,20,0.0636153,19.9722,3.0626e-05,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 19 2979
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW191113_071753_7dt.csv,20,50,1,16,0.0515481,14.565,4.40961,0 1 12 3 13 2 6 14 9 11 7 5 4 10 8 2979
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW191113_071753_7dt.csv,20,50,1,20,0.0636488,19.8338,0.0468356,0 1 8 10 12 4 3 13 5 2 7 11 6 9 14 15 16 17 18 2979
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW191113_071753_7dt.csv,30,50,1,27,0.0835956,29.3244,5.3394e-05,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 2979
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW191113_071753_7dt.csv,30,50,1,25,0.0780572,24.3814,4.1486,0 12 10 3 8 16 21 18 6 14 23 15 9 11 2 5 4 13 1 7 22 20 19 17 2979
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW191113_071753_7dt.csv,30,50,1,30,0.0916937,29.293,0.0493632,0 1 21 16 18 8 10 5 12 4 3 13 22 7 2 24 9 6 11 20 14 15 23 27 26 28 19 17 25 2979
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW191113_071753_7dt.csv,40,50,1,35,0.104411,39.9102,5.2289e-05,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 2979
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW191113_071753_7dt.csv,40,50,1,34,0.101961,34.002,4.59836,0 13 20 14 23 27 15 24 12 10 8 16 21 18 3 4 5 11 9 26 28 30 25 17 19 31 6 2 1 7 22 32 29 2979
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW191113_071753_7dt.csv,40,50,1,40,0.116239,39.6284,0.0489174,0 1 21 16 18 29 3 8 10 4 12 36 5 2 7 32 13 22 11 6 24 9 20 14 15 23 27 31 37 35 38 26 28 19 30 17 33 25 34 2979
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW191113_071753_7dt.csv,50,50,1,43,0.123178,49.1554,3.5725e-05,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 2979
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW191113_071753_7dt.csv,50,50,1,45,0.127762,45.2775,4.57757,0 24 9 15 2 14 23 27 40 37 35 38 26 19 17 34 25 33 30 28 39 43 42 41 31 20 6 7 1 3 13 22 32 29 18 21 16 8 10 11 36 12 4 5 2979
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW191113_071753_7dt.csv,50,50,1,49,0.136676,49.651,0.0576116,0 1 25 33 34 17 30 28 19 39 26 38 43 35 37 42 41 31 40 23 27 15 44 9 14 20 6 11 7 22 13 24 2 5 36 12 4 10 8 21 16 18 47 29 3 32 45 46 2979
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW191113_071753_7dt.csv,60,50,1,52,0.143165,59.7355,3.3765e-05,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 51 2979
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW191113_071753_7dt.csv,60,50,1,54,0.147436,54.7998,5.20646,0 14 15 27 52 46 49 39 51 34 25 33 30 28 19 17 26 38 45 43 35 37 31 42 41 40 48 22 7 6 9 36 44 23 20 11 2 24 1 5 32 29 18 8 10 12 13 3 50 47 21 16 4 2979
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW191113_071753_7dt.csv,60,50,1,59,0.157736,59.6798,0.0612449,0 1 25 33 17 34 51 19 30 28 39 26 56 38 46 49 45 43 35 52 42 37 41 31 40 23 27 15 9 44 14 48 20 53 55 11 6 2 24 36 12 10 4 5 7 22 32 13 29 3 8 16 21 18 47 50 54 57 2979
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW191113_071753_7dt.csv,70,50,1,59,0.157736,69.3493,5.1694e-05,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 2979
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW191113_071753_7dt.csv,70,50,1,62,0.163703,63.8139,5.65793,0 4 8 10 12 36 24 27 40 41 31 35 37 42 43 45 46 49 38 26 39 19 17 25 34 51 28 33 58 59 30 56 44 48 52 53 55 2 1 21 16 57 54 18 22 32 29 7 6 9 5 20 23 15 14 11 13 3 50 47 60 2979
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW191113_071753_7dt.csv,70,50,1,69,0.177236,69.8671,0.0656048,0 1 57 54 8 10 62 16 66 21 50 18 47 60 29 3 13 32 22 7 5 4 12 36 24 2 15 14 44 9 6 11 55 53 20 67 48 23 27 40 31 41 37 42 52 35 64 45 43 65 63 46 49 26 38 56 28 61 30 59 58 33 25 34 17 51 19 39 2979
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW191113_071753_7dt.csv,80,50,1,66,0.171475,79.1849,3.7681e-05,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 2979
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW191113_071753_7dt.csv,80,50,1,72,0.182818,74.4008,5.80715,0 71 31 63 65 42 41 37 35 43 64 19 17 25 58 59 68 34 33 56 61 26 28 38 39 30 69 51 49 46 45 52 40 48 53 67 7 55 22 44 36 5 1 2 6 32 29 60 18 8 10 9 11 27 14 15 23 20 24 12 62 66 4 3 13 47 50 54 57 16 21 2979
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW191113_071753_7dt.csv,80,50,1,78,0.193659,79.8984,0.0679554,0 1 57 54 8 10 62 16 66 21 50 18 47 60 29 3 13 32 22 55 11 7 4 12 5 36 24 2 9 15 44 27 41 31 23 14 6 20 53 67 48 71 40 73 42 52 37 74 64 45 43 35 65 63 46 49 38 56 61 28 26 39 51 19 30 69 17 34 33 58 25 68 59 70 72 75 76 2979
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW191113_071753_7dt.csv,90,50,1,74,0.186474,89.7181,4.2183e-05,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 2979
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW191113_071753_7dt.csv,90,50,1,80,0.197105,83.6686,6.05556,0 71 73 56 45 43 65 39 17 25 33 30 28 26 34 58 59 70 68 69 52 35 37 63 64 74 41 42 40 48 67 53 55 22 16 66 57 21 18 60 29 32 1 4 7 11 2 36 8 62 10 12 5 6 47 50 54 3 77 13 44 24 9 23 27 20 15 14 31 49 61 76 38 46 51 19 78 75 72 2979
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW191113_071753_7dt.csv,90,50,1,88,0.210286,89.831,0.072443,0 1 57 54 8 10 62 16 66 21 50 18 47 60 29 3 32 77 86 88 95 55 22 13 7 11 6 2 4 12 5 36 24 94 44 9 90 15 14 20 53 67 48 40 71 23 27 85 41 31 42 73 81 52 37 74 64 45 49 46 43 35 65 63 76 38 26 39 28 56 61 30 19 51 34 17 33 69 79 58 25 68 59 70 78 75 72 2979
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW191113_071753_7dt.csv,100,50,1,81,0.198822,99.3956,3.5754e-05,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 2979
