,Method,Budget,TimeSec
0,Genetic,10,7.29028
1,Genetic,20,4.86033
2,Genetic,30,4.79168
3,Genetic,40,5.36348
4,Genetic,50,4.71405
5,Genetic,60,4.91843
6,Genetic,70,5.75527
7,Genetic,80,5.31419
8,Genetic,90,5.63946
9,Genetic,100,5.32803
10,Greedy,10,4.0958e-05
11,Greedy,20,6.0586e-05
12,Greedy,30,3.7214e-05
13,Greedy,40,4.0665e-05
14,Greedy,50,5.5389e-05
15,Greedy,60,5.9545e-05
16,Greedy,70,4.8447e-05
17,Greedy,80,5.2342e-05
18,Greedy,90,4.1281e-05
19,Greedy,100,3.9006e-05
20,Hoogeveen,10,0.0558915
21,Hoogeveen,20,0.0512367
22,Hoogeveen,30,0.0549137
23,Hoogeveen,40,0.0527817
24,Hoogeveen,50,0.059808
25,Hoogeveen,60,0.0620971
26,Hoogeveen,70,0.0693843
27,Hoogeveen,80,0.066529
28,Hoogeveen,90,0.0818401
29,Hoogeveen,100,0.109558
