Method,Dataset,Budget,SlewRate,DwellTime,NumTiles,SumProb,TotalCost,TimeSec,Path
Gurobi,filtered_GW191230_180458_7dt_separate.csv,10,50,1,11,0.199765,9.90506,0.595748,0 7 8 6 4 3 1 2 5 9 100
Gurobi,filtered_GW191230_180458_7dt_separate.csv,20,50,1,20,0.351205,19.5428,14.9599,0 1 3 11 13 5 16 9 15 2 10 7 12 4 6 17 8 14 18 100
Gurobi,filtered_GW191230_180458_7dt_separate.csv,30,50,1,30,0.485507,29.9813,319.236,0 1 13 19 2 15 33 23 30 16 9 5 10 28 3 11 12 7 29 4 27 17 6 8 14 24 21 18 20 100
Gurobi,filtered_GW191230_180458_7dt_separate.csv,40,50,1,39,0.591183,39.832,3.82015,0 1 13 19 2 15 33 23 35 30 16 9 5 10 28 3 11 12 7 29 4 27 17 6 34 36 8 31 14 24 37 21 25 18 20 32 26 22 100
Gurobi,filtered_GW191230_180458_7dt_separate.csv,50,50,1,48,0.670667,49.7347,2.73073,0 1 10 28 46 29 38 6 8 34 14 36 24 37 18 20 32 40 26 22 25 42 21 39 45 31 17 27 4 12 7 3 11 13 19 2 15 43 33 9 5 41 16 23 30 44 35 100
Gurobi,filtered_GW191230_180458_7dt_separate.csv,60,50,1,57,0.72681,59.838,29.8109,0 1 10 41 55 5 33 9 23 50 35 48 44 30 16 15 43 2 19 13 54 11 49 12 4 29 46 28 3 7 38 17 27 6 34 8 31 36 14 45 39 24 51 37 21 18 20 32 40 47 26 22 53 52 25 42 100
Gurobi,filtered_GW191230_180458_7dt_separate.csv,70,50,1,66,0.772507,69.0903,194.637,0 1 13 54 57 19 2 15 43 59 33 23 50 35 64 48 44 63 30 61 16 9 5 41 55 10 28 3 11 58 49 12 7 46 29 4 27 17 6 38 34 8 31 45 14 36 51 24 39 21 37 18 56 60 20 32 26 40 47 62 53 22 25 42 52 100
Gurobi,filtered_GW191230_180458_7dt_separate.csv,80,50,1,76,0.808179,79.9923,3.06546,0 1 13 54 57 19 2 15 43 59 33 78 50 23 30 35 64 48 69 71 82 44 63 61 16 9 5 41 55 10 28 46 7 3 11 58 49 12 4 29 38 6 17 27 81 70 31 8 34 36 51 24 14 45 39 80 42 21 37 56 18 25 52 53 62 26 22 20 60 79 32 68 40 47 73 100
Gurobi,filtered_GW191230_180458_7dt_separate.csv,90,50,1,85,0.831205,89.9933,169.954,0 1 3 11 13 54 58 49 27 17 81 70 87 31 8 36 14 45 24 39 80 42 21 25 52 53 22 26 62 47 93 73 40 68 32 79 60 20 18 56 37 51 88 34 6 38 29 4 12 7 46 28 83 55 10 2 19 57 86 89 43 15 59 78 50 64 98 35 30 23 33 9 5 41 16 61 63 82 44 48 69 71 84 97 100
Greedy,filtered_GW191230_180458_7dt_separate.csv,10,50,1,10,0.18075,9.37028,6.983e-06,0 1 2 3 4 5 6 7 8 100
Genetic,filtered_GW191230_180458_7dt_separate.csv,10,50,1,11,0.199765,9.85,6.59577,0 1 9 5 2 3 7 6 8 4 100
AntColony,filtered_GW191230_180458_7dt_separate.csv,10,50,1,11,0.199765,9.68744,0.839511,0 1 2 9 5 3 7 4 6 8 100
Hoogeveen,filtered_GW191230_180458_7dt_separate.csv,10,50,1,11,0.199765,9.71744,0.0010917,0 1 9 5 2 3 7 4 6 8 100
HoogeveenParallel,filtered_GW191230_180458_7dt_separate.csv,10,50,1,11,0.199765,9.71744,0.00379916,0 1 9 5 2 3 7 4 6 8 100
Hoogeveen+Genetic,filtered_GW191230_180458_7dt_separate.csv,10,50,1,11,0.199765,9.85,7.73242,0 1 9 5 2 3 7 6 8 4 100
Greedy,filtered_GW191230_180458_7dt_separate.csv,20,50,1,18,0.321242,19.4281,6.539e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 100
Genetic,filtered_GW191230_180458_7dt_separate.csv,20,50,1,20,0.351205,19.7085,4.81148,0 1 3 11 12 13 10 9 16 5 15 2 7 4 6 17 8 14 18 100
AntColony,filtered_GW191230_180458_7dt_separate.csv,20,50,1,20,0.349163,19.2258,2.28534,0 1 13 19 2 15 9 5 10 3 11 12 7 4 6 17 8 14 24 100
Hoogeveen,filtered_GW191230_180458_7dt_separate.csv,20,50,1,20,0.351205,19.5095,0.00140577,0 1 16 9 15 2 5 10 13 11 3 7 12 4 6 17 8 14 18 100
HoogeveenParallel,filtered_GW191230_180458_7dt_separate.csv,20,50,1,20,0.351205,19.5095,0.00448188,0 1 16 9 15 2 5 10 13 11 3 7 12 4 6 17 8 14 18 100
Hoogeveen+Genetic,filtered_GW191230_180458_7dt_separate.csv,20,50,1,20,0.351205,19.4446,4.8009,0 2 15 9 16 5 10 1 3 13 11 12 7 4 6 17 8 14 18 100
