Method,Dataset,Budget,SlewRate,DwellTime,NumTiles,SumProb,TotalCost,TimeSec,Path,DatasetName
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200202_154313_7dt_separate.csv,10,50,1,11,0.652478,9.56499,0.218923,0 1 9 8 2 5 7 3 4 6 45,filtered_GW200202_154313_7dt_separate.csv
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200202_154313_7dt_separate.csv,20,50,1,20,0.890038,19.503,0.398282,0 6 14 15 13 4 1 3 18 11 7 5 12 9 8 10 2 16 17 45,filtered_GW200202_154313_7dt_separate.csv
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200202_154313_7dt_separate.csv,30,50,1,30,0.968955,29.8236,0.412587,0 1 22 9 12 28 16 24 26 17 21 19 10 8 2 5 7 3 4 6 14 27 15 23 13 20 18 11 25 45,filtered_GW200202_154313_7dt_separate.csv
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200202_154313_7dt_separate.csv,40,50,1,39,0.987984,39.483,5.87481,0 1 6 15 34 27 14 36 29 22 9 2 8 12 16 28 35 24 37 26 32 21 17 10 5 11 18 7 3 4 13 23 31 20 33 30 25 19 45,filtered_GW200202_154313_7dt_separate.csv
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200202_154313_7dt_separate.csv,50,50,1,47,0.995073,49.9603,0.310561,0 4 6 36 14 44 34 27 5 19 41 21 32 42 37 40 26 24 35 16 28 10 11 30 25 45 38 43 13 23 20 17 8 12 15 31 1 22 29 3 7 33 18 39 9 2 45,filtered_GW200202_154313_7dt_separate.csv
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200202_154313_7dt_separate.csv,60,50,1,47,0.995073,54.2053,0.154136,0 36 23 29 1 20 40 42 43 2 44 6 31 7 21 24 28 37 25 39 10 16 27 32 8 22 13 9 34 15 3 33 14 35 17 30 11 26 45 38 19 41 5 4 12 18 45,filtered_GW200202_154313_7dt_separate.csv
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200202_154313_7dt_separate.csv,70,50,1,47,0.995073,55.8031,0.200211,0 42 35 29 28 2 23 18 41 13 32 44 19 38 3 25 33 9 30 39 36 40 27 1 16 12 22 21 24 31 26 7 17 37 15 14 8 43 4 34 20 6 10 5 11 45 45,filtered_GW200202_154313_7dt_separate.csv
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200202_154313_7dt_separate.csv,80,50,1,47,0.995073,55.8031,0.206178,0 42 35 29 28 2 23 18 41 13 32 44 19 38 3 25 33 9 30 39 36 40 27 1 16 12 22 21 24 31 26 7 17 37 15 14 8 43 4 34 20 6 10 5 11 45 45,filtered_GW200202_154313_7dt_separate.csv
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200202_154313_7dt_separate.csv,90,50,1,47,0.995073,55.8031,0.198593,0 42 35 29 28 2 23 18 41 13 32 44 19 38 3 25 33 9 30 39 36 40 27 1 16 12 22 21 24 31 26 7 17 37 15 14 8 43 4 34 20 6 10 5 11 45 45,filtered_GW200202_154313_7dt_separate.csv
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200202_154313_7dt_separate.csv,10,50,1,11,0.652478,9.9253,6.549e-06,0 1 2 3 4 5 6 7 8 9 45,filtered_GW200202_154313_7dt_separate.csv
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200202_154313_7dt_separate.csv,10,50,1,11,0.652478,9.65492,4.48479,0 1 2 6 4 3 7 5 8 9 45,filtered_GW200202_154313_7dt_separate.csv
AntColony,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200202_154313_7dt_separate.csv,10,50,1,11,0.652478,9.60096,0.437291,0 1 9 8 2 5 7 3 6 4 45,filtered_GW200202_154313_7dt_separate.csv
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200202_154313_7dt_separate.csv,10,50,1,11,0.652478,9.60875,0.00258328,0 1 4 6 3 7 5 2 9 8 45,filtered_GW200202_154313_7dt_separate.csv
