Method,Dataset,Budget,SlewRate,DwellTime,NumTiles,SumProb,TotalCost,TimeSec,Path
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200220_124850_7dt.csv,10,50,1,11,0.0316231,9.94662,2.7965e-05,0 1 2 3 4 5 6 7 8 9 2433
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200220_124850_7dt.csv,10,50,1,4,0.00715021,2.07818,7.70388,0 1 2 2433
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200220_124850_7dt.csv,10,50,1,11,0.0316231,9.47328,0.0337152,0 1 7 3 5 6 4 8 2 9 2433
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200220_124850_7dt.csv,20,50,1,19,0.057716,19.2246,4.2374e-05,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 2433
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200220_124850_7dt.csv,20,50,1,16,0.0481276,14.7616,9.67119,0 1 8 2 4 6 5 14 3 7 12 11 13 10 9 2433
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200220_124850_7dt.csv,20,50,1,21,0.0628807,19.9604,0.0402138,0 1 16 15 12 11 7 3 14 5 6 17 4 9 10 13 2 8 18 68 2433
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200220_124850_7dt.csv,30,50,1,28,0.0853555,29.4775,4.2303e-05,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 2433
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200220_124850_7dt.csv,30,50,1,26,0.0793948,25.0361,5.9845,0 1 5 6 4 20 2 13 9 23 10 22 8 18 24 17 21 14 7 19 3 11 12 15 16 2433
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200220_124850_7dt.csv,30,50,1,30,0.0912716,29.7236,0.036379,0 1 23 9 10 13 22 2 20 4 8 18 24 6 17 21 14 5 7 16 15 12 19 11 3 25 26 27 28 2433
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200220_124850_7dt.csv,40,50,1,36,0.108352,39.5323,2.7679e-05,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 2433
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large_wcrt1/filtered_GW200220_124850_7dt.csv,40,50,1,34,0.102779,33.1946,4.21884,0 1 4 2 13 9 28 30 27 23 31 10 22 20 8 18 24 17 6 21 14 5 25 3 29 11 7 19 12 26 15 16 32 2433
