ID	ra_center	dec_center
0	0.000000	-90.000000
1	43.584799	-86.837722
2	100.909678	-86.837722
3	158.234557	-86.837722
4	215.559436	-86.837722
5	272.884314	-86.837722
6	330.209193	-86.837722
7	5.008598	-83.675445
8	33.714748	-83.675445
9	62.420898	-83.675445
10	91.127048	-83.675445
11	119.833198	-83.675445
12	148.539349	-83.675445
13	177.245499	-83.675445
14	205.951649	-83.675445
15	234.657799	-83.675445
16	263.363950	-83.675445
17	292.070100	-83.675445
18	320.776250	-83.675445
19	349.482400	-83.675445
20	14.646323	-80.513167
21	33.832463	-80.513167
22	53.018602	-80.513167
23	72.204742	-80.513167
24	91.390882	-80.513167
25	110.577021	-80.513167
26	129.763161	-80.513167
27	148.949300	-80.513167
28	168.135440	-80.513167
29	187.321579	-80.513167
30	206.507719	-80.513167
31	225.693858	-80.513167
32	244.879998	-80.513167
33	264.066138	-80.513167
34	283.252277	-80.513167
35	302.438417	-80.513167
36	321.624556	-80.513167
37	340.810696	-80.513167
38	359.996835	-80.513167
39	9.537104	-77.350889
40	23.978069	-77.350889
41	38.419035	-77.350889
42	52.860000	-77.350889
43	67.300965	-77.350889
44	81.741930	-77.350889
45	96.182895	-77.350889
46	110.623861	-77.350889
47	125.064826	-77.350889
48	139.505791	-77.350889
49	153.946756	-77.350889
50	168.387721	-77.350889
51	182.828687	-77.350889
52	197.269652	-77.350889
53	211.710617	-77.350889
54	226.151582	-77.350889
55	240.592547	-77.350889
56	255.033513	-77.350889
57	269.474478	-77.350889
58	283.915443	-77.350889
59	298.356408	-77.350889
60	312.797373	-77.350889
61	327.238339	-77.350889
62	341.679304	-77.350889
63	356.120269	-77.350889
64	7.365230	-74.188612
65	18.971133	-74.188612
66	30.577036	-74.188612
67	42.182938	-74.188612
68	53.788841	-74.188612
69	65.394744	-74.188612
70	77.000646	-74.188612
71	88.606549	-74.188612
72	100.212452	-74.188612
73	111.818354	-74.188612
74	123.424257	-74.188612
75	135.030160	-74.188612
76	146.636062	-74.188612
77	158.241965	-74.188612
78	169.847868	-74.188612
79	181.453771	-74.188612
80	193.059673	-74.188612
81	204.665576	-74.188612
82	216.271479	-74.188612
83	227.877381	-74.188612
84	239.483284	-74.188612
85	251.089187	-74.188612
86	262.695089	-74.188612
87	274.300992	-74.188612
88	285.906895	-74.188612
89	297.512797	-74.188612
90	309.118700	-74.188612
91	320.724603	-74.188612
92	332.330506	-74.188612
93	343.936408	-74.188612
94	355.542311	-74.188612
95	9.693892	-71.026334
96	19.419980	-71.026334
97	29.146069	-71.026334
98	38.872157	-71.026334
99	48.598246	-71.026334
100	58.324334	-71.026334
101	68.050423	-71.026334
102	77.776512	-71.026334
103	87.502600	-71.026334
104	97.228689	-71.026334
105	106.954777	-71.026334
106	116.680866	-71.026334
107	126.406955	-71.026334
108	136.133043	-71.026334
109	145.859132	-71.026334
110	155.585220	-71.026334
111	165.311309	-71.026334
112	175.037397	-71.026334
113	184.763486	-71.026334
114	194.489575	-71.026334
115	204.215663	-71.026334
116	213.941752	-71.026334
