ID	ra_center	dec_center
0	0.000000	-90.000000
1	27.743415	-88.418861
2	85.046467	-88.418861
3	142.349519	-88.418861
4	199.652572	-88.418861
5	256.955624	-88.418861
6	314.258676	-88.418861
7	5.019698	-86.837722
8	33.682137	-86.837722
9	62.344577	-86.837722
10	91.007016	-86.837722
11	119.669455	-86.837722
12	148.331895	-86.837722
13	176.994334	-86.837722
14	205.656773	-86.837722
15	234.319213	-86.837722
16	262.981652	-86.837722
17	291.644091	-86.837722
18	320.306531	-86.837722
19	348.968970	-86.837722
20	14.515051	-85.256584
21	33.635478	-85.256584
22	52.755905	-85.256584
23	71.876333	-85.256584
24	90.996760	-85.256584
25	110.117187	-85.256584
26	129.237614	-85.256584
27	148.358042	-85.256584
28	167.478469	-85.256584
29	186.598896	-85.256584
30	205.719323	-85.256584
31	224.839751	-85.256584
32	243.960178	-85.256584
33	263.080605	-85.256584
34	282.201032	-85.256584
35	301.321460	-85.256584
36	320.441887	-85.256584
37	339.562314	-85.256584
38	358.682741	-85.256584
39	3.939689	-83.675445
40	18.292764	-83.675445
41	32.645839	-83.675445
42	46.998914	-83.675445
43	61.351989	-83.675445
44	75.705064	-83.675445
45	90.058139	-83.675445
46	104.411214	-83.675445
47	118.764289	-83.675445
48	133.117365	-83.675445
49	147.470440	-83.675445
50	161.823515	-83.675445
51	176.176590	-83.675445
52	190.529665	-83.675445
53	204.882740	-83.675445
54	219.235815	-83.675445
55	233.588890	-83.675445
56	247.941965	-83.675445
57	262.295040	-83.675445
58	276.648116	-83.675445
59	291.001191	-83.675445
60	305.354266	-83.675445
61	319.707341	-83.675445
62	334.060416	-83.675445
63	348.413491	-83.675445
64	7.358409	-82.094306
65	18.854007	-82.094306
66	30.349605	-82.094306
67	41.845203	-82.094306
68	53.340801	-82.094306
69	64.836399	-82.094306
70	76.331997	-82.094306
71	87.827594	-82.094306
72	99.323192	-82.094306
73	110.818790	-82.094306
74	122.314388	-82.094306
75	133.809986	-82.094306
76	145.305584	-82.094306
77	156.801182	-82.094306
78	168.296779	-82.094306
79	179.792377	-82.094306
80	191.287975	-82.094306
81	202.783573	-82.094306
82	214.279171	-82.094306
